GOID	GO term	Frequency	Genome Frequency	Gene(s)
7005	 mitochondrion organization	"33 out of 433 genes, 7.6%"	"421 of 6341 genes, 6.6%"	"GRS1,NGR1,IMG1,IMG2,RSM10,MRPL1,MSS116,MRPL7,MRPS28,MRP20,MRPL28,RML2,MNP1,RSM23,TRM5,MRPL6,MMF1,MRPL8,MRPL31,TRZ1,PUF3,REX2,MEF1,ACO1,MRPL3,MRPS8,MTF1,MRP7,MRPL22,MRPL19,RSM19,TUF1,HTS1"
42255	 ribosome assembly	"30 out of 433 genes, 6.9%"	"59 of 6341 genes, 0.9%"	"FUN12,RRP7,RPS11A,MAK21,RPL12A,RPS26B,SPB4,LSG1,NSR1,SSF1,RPF1,MRT4,RPS27A,RPF2,RPL40B,DRS1,SDO1,RPL10,RPS31,RPP0,RPL6B,RPS17A,RRP5,RIA1,BRX1,RPL25,RPL3,RPL5,RPL11A,MRD1"
15931	 nucleobase-containing compound transport	"30 out of 433 genes, 6.9%"	"138 of 6341 genes, 2.2%"	"HMT1,GBP2,SUB2,HPR1,YRA1,NPL3,THO1,RPS26B,NAB2,RPS2,UTP22,UTP8,CRM1,RPB4,RPS5,LOS1,RPS18B,MFT1,HRB1,THO2,RPS3,RIO2,RPS15,RPS19A,DBP5,MTR10,RPS28A,RPS10A,MEX67,TEF1"
9451	 RNA modification	"29 out of 433 genes, 6.7%"	"172 of 6341 genes, 2.7%"	"SPB1,NOP1,TRM3,NHP2,RRP8,TRM1,DEG1,TYW3,SUA5,TAN1,THG1,TRM5,NOP10,GCD14,TRM2,CBF5,NOP56,DUS3,DUS1,GCD10,TRM112,TRM10,PAP2,TRM11,TRM13,PUS7,TRM44,TYW1,PUS1"
8033	 tRNA processing	"29 out of 433 genes, 6.7%"	"106 of 6341 genes, 1.7%"	"LHP1,TRM3,TRM1,CCA1,DEG1,TYW3,SUA5,TAN1,THG1,RPP1,TRM5,GCD14,TRM2,TRZ1,DUS3,DUS1,GCD10,POP1,NRD1,TRM112,TRM10,TPT1,PAP2,TRM11,TRM13,PUS7,TRM44,TYW1,PUS1"
8380	 RNA splicing	"26 out of 433 genes, 6.0%"	"144 of 6341 genes, 2.3%"	"LSM2,SUB2,MSS116,PRP28,LSM6,NPL3,SNU13,SMB1,RPL30,PRP43,SPT4,PRP8,SNP1,DBR1,PRP19,SMD2,LSM3,SPT5,RSE1,STO1,LSM7,PRP2,TPT1,DED1,CBC2,MRN1"
6413	 translational initiation	"26 out of 433 genes, 6.0%"	"61 of 6341 genes, 1%"	"FUN12,PAT1,GCD6,GCN2,RPB7,HYP2,GCD11,PAB1,TIF4632,YGR054W,GCD2,TIF4631,RPB4,SUI2,GCN3,TIF1,GCD7,CLU1,TIF11,NIP1,SUI1,CDC33,DED1,PRT1,SUI3,SCD6"
32543	 mitochondrial translation	"25 out of 433 genes, 5.8%"	"167 of 6341 genes, 2.6%"	"GRS1,IMG1,IMG2,RSM10,MRPL1,MRPL7,MRPS28,MRP20,MRPL28,RML2,MNP1,RSM23,MRPL6,MMF1,MRPL8,MRPL31,MEF1,MRPL3,MRPS8,MRP7,MRPL22,MRPL19,RSM19,TUF1,HTS1"
6520	 cellular amino acid metabolic process	"22 out of 433 genes, 5.1%"	"153 of 6341 genes, 2.4%"	"ILS1,GRS1,SES1,KRS1,LYS4,PRO1,YDR341C,FRS2,LEU1,ARC1,GUS1,VAS1,TYS1,DED81,YHR020W,THS1,DPS1,FRS1,WRS1,CDC60,HTS1,MRI1"
6354	" DNA-templated transcription, elongation"	"22 out of 433 genes, 5.1%"	"96 of 6341 genes, 1.5%"	"CCR4,HMT1,CDC39,SUB2,CDC36,HPR1,MSS116,NPL3,MOT2,RPB9,XRN1,SPT4,NOT3,RPA34,SPT5,MFT1,THO2,SSU72,RPA49,RAT1,EAF3,NOT5"
43144	 snoRNA processing	"21 out of 433 genes, 4.8%"	"45 of 6341 genes, 0.7%"	"RRP43,NOP1,RRP42,RRP45,XRN1,RRP46,SKI6,PXR1,RPP1,RRP4,LRP1,PAP1,CBF5,POP1,CSL4,NRD1,PRP2,DIS3,PAP2,RRP6,RAT1"
6418	 tRNA aminoacylation for protein translation	"18 out of 433 genes, 4.2%"	"36 of 6341 genes, 0.6%"	"ILS1,GRS1,SES1,KRS1,YDR341C,FRS2,ARC1,GUS1,VAS1,TYS1,DED81,YHR020W,THS1,DPS1,FRS1,WRS1,CDC60,HTS1"
6414	 translational elongation	"17 out of 433 genes, 3.9%"	"334 of 6341 genes, 5.3%"	"EFB1,RPS9B,DHH1,HYP2,GCD11,RPS2,SUA5,ANB1,RPS5,TEF4,MEF1,RPL31B,EFT1,TUF1,CAM1,TEF1,RPS23B"
6360	 transcription from RNA polymerase I promoter	"16 out of 433 genes, 3.7%"	"66 of 6341 genes, 1.0%"	"RPB5,RPA14,SPT4,UTP8,UTP10,RPA34,RPA12,SPT5,UTP15,RPC19,RPA49,RIO1,RPB8,RPA190,RPA135,RPC40"
6974	 cellular response to DNA damage stimulus	"15 out of 433 genes, 3.5%"	"299 of 6341 genes, 4.7%"	"RFA1,SUB2,RPO21,HPR1,GCN2,YRA1,RPB9,SPT4,TRM2,SPT5,MKT1,THO2,RFA2,PAP2,EAF3"
54	 ribosomal subunit export from nucleus	"14 out of 433 genes, 3.2%"	"46 of 6341 genes, 0.7%"	"NUG1,LSG1,CRM1,RPF1,NMD3,NOP9,RPL40B,BUD20,RPS3,NOG2,RRS1,NOG1,NOP53,MEX67"
6281	 DNA repair	"13 out of 433 genes, 3.0%"	"246 of 6341 genes, 3.9%"	"RFA1,SUB2,RPO21,HPR1,YRA1,RPB9,SPT4,TRM2,SPT5,THO2,RFA2,PAP2,EAF3"
6353	" DNA-templated transcription, termination"	"11 out of 433 genes, 2.5%"	"43 of 6341 genes, 0.7%"	"HMT1,GRS1,SUP45,CFT1,NPL3,RAI1,RPB3,RPA12,SSU72,NRD1,RAT1"
6325	 chromatin organization	"11 out of 433 genes, 2.5%"	"318 of 6341 genes, 5.0%"	"PAT1,NOP1,SUB2,PUF4,SPT4,SCP160,MSN4,NAM7,CLP1,MRN1,EAF3"
6383	 transcription from RNA polymerase III promoter	"11 out of 433 genes, 2.5%"	"41 of 6341 genes, 0.6%"	"RPB5,RPC53,NAB2,RPC17,RPC25,RPC19,RPC34,RPO31,RET1,RPB8,RPC40"
8150	 biological process unknown	"11 out of 433 genes, 2.5%"	"1047 of 6341 genes, 16.5%"	"OLA1,NRP1,HMF1,AIM10,TMT1,RIE1,YHR218W-A,TMA22,YLR419W,NAB6,NOP13"
6605	 protein targeting	"10 out of 433 genes, 2.3%"	"303 of 6341 genes, 4.8%"	"SRP14,SRP101,NTF2,KAP123,KAP95,SEC65,MTR10,KAP120,SRP72,SRP54"
70647	 protein modification by small protein conjugation or removal	"10 out of 433 genes, 2.3%"	"170 of 6341 genes, 2.7%"	"RFA1,CDC36,MOT2,NOT3,RPL40B,KAP95,NAM7,RFA2,BRE5,NOT5"
6352	" DNA-templated transcription, initiation"	"9 out of 433 genes, 2.1%"	"71 of 6341 genes, 1.1%"	"RPB7,RPB9,XRN1,RPC17,RPB4,RPC25,MTF1,DCP2,SSU72"
6310	 DNA recombination	"8 out of 433 genes, 1.8%"	"175 of 6341 genes, 2.8%"	"RFA1,HPR1,NMD2,MFT1,NAM7,THO2,RFA2,PAP2"
42221	 response to chemical	"7 out of 433 genes, 1.6%"	"442 of 6341 genes, 7%"	"CNE1,CDC39,CDC36,STB3,STF2,SCP160,MSN4"
32200	 telomere organization	"7 out of 433 genes, 1.6%"	"78 of 6341 genes, 1.2%"	"RFA1,HEK2,PBP2,GBP2,SUA5,PXR1,RFA2"
51726	 regulation of cell cycle	"6 out of 433 genes, 1.4%"	"210 of 6341 genes, 3.3%"	"CCR4,CDC39,CDC36,XRN1,CDC33,RIO1"
6468	 protein phosphorylation	"6 out of 433 genes, 1.4%"	"199 of 6341 genes, 3.1%"	"RPP1A,RPP1B,GCN2,RPP2B,RAT1,RIO1"
18193	 peptidyl-amino acid modification	"6 out of 433 genes, 1.4%"	"150 of 6341 genes, 2.4%"	"HMT1,EFM4,DPH6,KAP95,SFM1,EAF3"
51052	 regulation of DNA metabolic process	"6 out of 433 genes, 1.4%"	"103 of 6341 genes, 1.6%"	"CCR4,SPT4,PXR1,SPT5,PAP2,EAF3"
48285	 organelle fission	"6 out of 433 genes, 1.4%"	"294 of 6341 genes, 4.6%"	"RFA1,SCP160,EBP2,RFA2,PAP2,RIO1"
746	 conjugation	"5 out of 433 genes, 1.2%"	"124 of 6341 genes, 2%"	"CDC39,CDC36,LSG1,SSF1,SCP160"
31399	 regulation of protein modification process	"5 out of 433 genes, 1.2%"	"111 of 6341 genes, 1.8%"	"RPP1A,RPP1B,RPP2B,KAP95,RAT1"
70271	 protein complex biogenesis	"5 out of 433 genes, 1.2%"	"304 of 6341 genes, 4.8%"	"XRN1,KAP95,SEC65,DCP2,NOB1"
51321	 meiotic cell cycle	"5 out of 433 genes, 1.2%"	"280 of 6341 genes, 4.4%"	"RFA1,LSG1,SCP160,RFA2,PAP2"
42594	 response to starvation	"5 out of 433 genes, 1.2%"	"56 of 6341 genes, 0.9%"	"RBG1,GCN2,RBG2,MSN4,GCN3"
8213	 protein alkylation	"5 out of 433 genes, 1.2%"	"50 of 6341 genes, 0.8%"	"HMT1,NOP1,EFM4,TRM112,SFM1"
33043	 regulation of organelle organization	"4 out of 433 genes, 0.9%"	"287 of 6341 genes, 4.5%"	"EFB1,PUF4,PXR1,RIO1"
55085	 transmembrane transport	"4 out of 433 genes, 0.9%"	"230 of 6341 genes, 3.6%"	"SRP14,SEC65,SRP72,SRP54"
6260	 DNA replication	"4 out of 433 genes, 0.9%"	"139 of 6341 genes, 2.2%"	"CCR4,RFA1,RFA2,EAF3"
6970	 response to osmotic stress	"4 out of 433 genes, 0.9%"	"92 of 6341 genes, 1.5%"	"ISC1,MSN4,MOT3,STO1"
278	 mitotic cell cycle	"4 out of 433 genes, 0.9%"	"319 of 6341 genes, 5.0%"	"CCR4,XRN1,BUD20,RIO1"
7124	 pseudohyphal growth	"4 out of 433 genes, 0.9%"	"74 of 6341 genes, 1.2%"	"CDC39,KAP123,DBR1,WHI3"
6629	 lipid metabolic process	"3 out of 433 genes, 0.7%"	"280 of 6341 genes, 4.4%"	"ISC1,MOT3,INP53"
32196	 transposition	"3 out of 433 genes, 0.7%"	"110 of 6341 genes, 1.7%"	"DBR1,YMR045C,RPC40"
7059	 chromosome segregation	"3 out of 433 genes, 0.7%"	"197 of 6341 genes, 3.1%"	"PAT1,SPT4,SCP160"
7010	 cytoskeleton organization	"2 out of 433 genes, 0.5%"	"230 of 6341 genes, 3.6%"	"EFB1,NOP15"
16570	 histone modification	"2 out of 433 genes, 0.5%"	"114 of 6341 genes, 1.8%"	"NOP1,EAF3"
910	 cytokinesis	"2 out of 433 genes, 0.5%"	"81 of 6341 genes, 1.3%"	"BUD20,NOP15"
45333	 cellular respiration	"2 out of 433 genes, 0.5%"	"83 of 6341 genes, 1.3%"	"PUF3,ACO1"
6457	 protein folding	"2 out of 433 genes, 0.5%"	"95 of 6341 genes, 1.5%"	"CNE1,PIH1"
6091	 generation of precursor metabolites and energy	"2 out of 433 genes, 0.5%"	"153 of 6341 genes, 2.4%"	"PUF3,ACO1"
51603	 proteolysis involved in cellular protein catabolic process	"2 out of 433 genes, 0.5%"	"215 of 6341 genes, 3.4%"	"CNE1,MOT2"
51049	 regulation of transport	"2 out of 433 genes, 0.5%"	"84 of 6341 genes, 1.3%"	"RIO2,BRE5"
48193	 Golgi vesicle transport	"2 out of 433 genes, 0.5%"	"186 of 6341 genes, 2.9%"	"SEC31,BRE5"
9408	 response to heat	"2 out of 433 genes, 0.5%"	"71 of 6341 genes, 1.1%"	"RPB4,MSN4"
23052	 signaling	"2 out of 433 genes, 0.5%"	"240 of 6341 genes, 3.8%"	"SCP160,CDC60"
6997	 nucleus organization	"1 out of 433 genes, 0.2%"	"66 of 6341 genes, 1.0%"	KAP95
6979	 response to oxidative stress	"1 out of 433 genes, 0.2%"	"103 of 6341 genes, 1.6%"	MSN4
6873	 cellular ion homeostasis	"1 out of 433 genes, 0.2%"	"125 of 6341 genes, 2%"	SLF1
43934	 sporulation	"1 out of 433 genes, 0.2%"	"133 of 6341 genes, 2.1%"	LSG1
16050	 vesicle organization	"1 out of 433 genes, 0.2%"	"72 of 6341 genes, 1.1%"	SEC31
6470	 protein dephosphorylation	"1 out of 433 genes, 0.2%"	"48 of 6341 genes, 0.8%"	SSU72
43543	 protein acylation	"1 out of 433 genes, 0.2%"	"66 of 6341 genes, 1.0%"	EAF3
1403	 invasive growth in response to glucose limitation	"1 out of 433 genes, 0.2%"	"59 of 6341 genes, 0.9%"	WHI3
8643	 carbohydrate transport	"0 out of 433 genes, 0%"	"33 of 6341 genes, 0.5%"	none
71554	 cell wall organization or biogenesis	"0 out of 433 genes, 0%"	"198 of 6341 genes, 3.1%"	none
6486	 protein glycosylation	"0 out of 433 genes, 0%"	"62 of 6341 genes, 1%"	none
51604	 protein maturation	"0 out of 433 genes, 0%"	"49 of 6341 genes, 0.8%"	none
7033	 vacuole organization	"0 out of 433 genes, 0%"	"92 of 6341 genes, 1.5%"	none
16197	 endosomal transport	"0 out of 433 genes, 0%"	"102 of 6341 genes, 1.6%"	none
902	 cell morphogenesis	"0 out of 433 genes, 0%"	"29 of 6341 genes, 0.5%"	none
10324	 membrane invagination	"0 out of 433 genes, 0%"	"0 of 6341 genes, 0%"	none
5975	 carbohydrate metabolic process	"0 out of 433 genes, 0%"	"256 of 6341 genes, 4.0%"	none
55086	 nucleobase-containing small molecule metabolic process	"0 out of 433 genes, 0%"	"198 of 6341 genes, 3.1%"	none
6766	 vitamin metabolic process	"0 out of 433 genes, 0%"	"43 of 6341 genes, 0.7%"	none
7114	 cell budding	"0 out of 433 genes, 0%"	"58 of 6341 genes, 0.9%"	none
6897	 endocytosis	"0 out of 433 genes, 0%"	"97 of 6341 genes, 1.5%"	none
48308	 organelle inheritance	"0 out of 433 genes, 0%"	"60 of 6341 genes, 0.9%"	none
6497	 protein lipidation	"0 out of 433 genes, 0%"	"45 of 6341 genes, 0.7%"	none
7031	 peroxisome organization	"0 out of 433 genes, 0%"	"73 of 6341 genes, 1.2%"	none
6887	 exocytosis	"0 out of 433 genes, 0%"	"49 of 6341 genes, 0.8%"	none
32787	 monocarboxylic acid metabolic process	"0 out of 433 genes, 0%"	"127 of 6341 genes, 2.0%"	none
6869	 lipid transport	"0 out of 433 genes, 0%"	"67 of 6341 genes, 1.1%"	none
9311	 oligosaccharide metabolic process	"0 out of 433 genes, 0%"	"31 of 6341 genes, 0.5%"	none
6865	 amino acid transport	"0 out of 433 genes, 0%"	"33 of 6341 genes, 0.5%"	none
48284	 organelle fusion	"0 out of 433 genes, 0%"	"88 of 6341 genes, 1.4%"	none
61025	 membrane fusion	"0 out of 433 genes, 0%"	"75 of 6341 genes, 1.2%"	none
6811	 ion transport	"0 out of 433 genes, 0%"	"182 of 6341 genes, 2.9%"	none
51186	 cofactor metabolic process	"0 out of 433 genes, 0%"	"178 of 6341 genes, 2.8%"	none
other	other	"10 out of 433 genes, 2.3%"		"YGR283C,CIC1,RTC3,LSM12,SHQ1,SGN1,URB2,SHE2,VIP1,YMR310C"
