"","ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_gene_name","hsapiens_homolog_goslim"
"52","YBR208C","DUR1,2","ENSG00000175198","PCCA","metal ion binding"
"53","YBR218C","PYC2","",NA,"NA"
"54","YBR272C","HSM3","",NA,"NA"
"55","YBR288C","APM3","",NA,"NA"
"56","YCL025C","AGP1","",NA,"NA"
"57","YCL031C","RRP7","",NA,"NA"
"58","YCL036W","GFD2","",NA,"NA"
"59","YCL045C","EMC1","ENSG00000127463","EMC1","integral component of membrane"
"60","YCL054W","SPB1","ENSG00000108592","FTSJ3","nucleus"
"61","YCL059C","KRR1","ENSG00000111615","KRR1","cytoplasm"
"62","YCR003W","MRPL32","",NA,"NA"
"63","YCR028C-A","RIM1","",NA,"NA"
"64","YCR053W","THR4","ENSG00000185875","THNSL1","cytoplasm"
"65","YCR053W","THR4","ENSG00000144115","THNSL2",""
"66","YCR087C-A","","",NA,"NA"
"67","YDL002C","NHP10","",NA,"NA"
"68","YDL014W","NOP1","ENSG00000105202","FBL",""
"69","YDL014W","NOP1","ENSG00000188573","FBLL1","RNA binding"
"70","YDL031W","DBP10","ENSG00000123064","DDX54","regulation of transcription, DNA-templated"
"71","YDL040C","NAT1","ENSG00000172766","NAA16","cytoplasm"
"72","YDL040C","NAT1","ENSG00000164134","NAA15","cytoplasm"
"73","YDL060W","TSR1","ENSG00000167721","TSR1","GTP binding"
"74","YDL061C","RPS29B","",NA,"NA"
"75","YDL070W","BDF2","ENSG00000100393","EP300","cytoplasm"
"76","YDL070W","BDF2","ENSG00000204256","BRD2","nucleus"
"77","YDL070W","BDF2","ENSG00000137948","BRDT","nucleus"
"78","YDL070W","BDF2","ENSG00000169925","BRD3","nucleus"
"79","YDL070W","BDF2","ENSG00000141867","BRD4","cytoplasm"
"80","YDL070W","BDF2","ENSG00000005339","CREBBP","signal transducer activity"
"81","YDL074C","BRE1","ENSG00000103549","RNF40",""
"82","YDL074C","BRE1","ENSG00000155827","RNF20","regulation of transcription, DNA-templated"
"83","YDL075W","RPL31A","ENSG00000071082","RPL31","cytosol"
"84","YDL083C","RPS16B","ENSG00000105193","RPS16",""
"85","YDL092W","SRP14","",NA,"NA"
"86","YDL098C","SNU23","",NA,"NA"
"87","YDL117W","CYK3","",NA,"NA"
"88","YDL136W","RPL35B","ENSG00000136942","RPL35",""
"89","YDL145C","COP1","ENSG00000122218","COPA","cytoplasm"
"90","YDL148C","NOP14","ENSG00000087269","NOP14","nucleus"
"91","YDL153C","SAS10","ENSG00000132467","UTP3","nucleus"
"92","YDL173W","PAR32","",NA,"NA"
"93","YDL174C","DLD1","ENSG00000018510","AGPS","oxidation-reduction process"
"94","YDL174C","DLD1","ENSG00000166816","LDHD","oxidation-reduction process"
"95","YDL191W","RPL35A","ENSG00000136942","RPL35",""
"96","YDL208W","NHP2","ENSG00000145912","NHP2","cytoplasm"
"97","YDL213C","NOP6","",NA,"NA"
"98","YDR026C","NSI1","",NA,"NA"
"99","YDR033W","MRH1","",NA,"NA"
"100","YDR037W","KRS1","ENSG00000065427","KARS","cytoplasm"
"101","YDR050C","TPI1","ENSG00000111669","TPI1","nucleus"
"102","YDR069C","DOA4","ENSG00000077254","USP33","cytoplasm"
"103","YDR069C","DOA4","ENSG00000138592","USP8",""
"104","YDR069C","DOA4","ENSG00000136878","USP20","zinc ion binding"
"105","YDR069C","DOA4","ENSG00000036672","USP2","metal ion binding"
"106","YDR069C","DOA4","ENSG00000170236","USP50","ubiquitin-dependent protein catabolic process"
"107","YDR069C","DOA4","ENSG00000143258","USP21",""
"108","YDR083W","RRP8","ENSG00000132275","RRP8","cytoplasm"
"109","YDR115W","","",NA,"NA"
"110","YDR117C","TMA64","ENSG00000143486","EIF2D",""
"111","YDR120C","TRM1","ENSG00000121486","TRMT1L","metal ion binding"
"112","YDR120C","TRM1","ENSG00000104907","TRMT1","metal ion binding"
"113","YDR147W","EKI1","ENSG00000110721","CHKA","signal transducer activity"
"114","YDR147W","EKI1","ENSG00000143845","ETNK2","cytosol"
"115","YDR147W","EKI1","ENSG00000254413","CHKB-CPT1B","phosphorylation"
"116","YDR147W","EKI1","ENSG00000100288","CHKB","cytosol"
"117","YDR147W","EKI1","ENSG00000139163","ETNK1","cytoplasm"
"118","YDR155C","CPR1","ENSG00000084072","PPIE",""
"119","YDR155C","CPR1","ENSG00000263464","PPIAL4C","protein peptidyl-prolyl isomerization"
"120","YDR155C","CPR1","ENSG00000108179","PPIF",""
"121","YDR155C","CPR1","ENSG00000270339","AC243756.1","protein peptidyl-prolyl isomerization"
"122","YDR155C","CPR1","ENSG00000196262","PPIA",""
"123","YDR155C","CPR1","ENSG00000271567","PPIAL4E","protein peptidyl-prolyl isomerization"
"124","YDR155C","CPR1","ENSG00000185250","PPIL6","protein peptidyl-prolyl isomerization"
"125","YDR155C","CPR1","ENSG00000263353","PPIAL4A","protein peptidyl-prolyl isomerization"
"126","YDR155C","CPR1","ENSG00000236334","PPIAL4G","protein peptidyl-prolyl isomerization"
"127","YDR155C","CPR1","ENSG00000256374","PPIAL4D","protein peptidyl-prolyl isomerization"
"128","YDR155C","CPR1","ENSG00000279782","PPIAL4F","protein peptidyl-prolyl isomerization"
"129","YDR156W","RPA14","",NA,"NA"
"130","YDR158W","HOM2","",NA,"NA"
"131","YDR159W","SAC3","ENSG00000160294","MCM3AP","cytoplasm"
"132","YDR159W","SAC3","ENSG00000168061","SAC3D1",""
"133","YDR174W","HMO1","",NA,"NA"
"134","YDR182W","CDC1","ENSG00000154889","MPPE1","integral component of membrane"
"135","YDR224C","HTB1","ENSG00000185130","HIST1H2BL","cytoplasm"
"136","YDR224C","HTB1","ENSG00000123569","H2BFWT","DNA binding"
"137","YDR224C","HTB1","ENSG00000101812","H2BFM","DNA binding"
"138","YDR224C","HTB1","ENSG00000273703","HIST1H2BM","cytoplasm"
"139","YDR225W","HTA1","ENSG00000164508","HIST1H2AA","nucleus"
"140","YDR225W","HTA1","ENSG00000276903","HIST1H2AL","nucleus"
"141","YDR225W","HTA1","ENSG00000278677","HIST1H2AM","nucleus"
"142","YDR225W","HTA1","ENSG00000196747","HIST1H2AI","nucleus"
"143","YDR225W","HTA1","ENSG00000184260","HIST2H2AC","nucleus"
"144","YDR225W","HTA1","ENSG00000277075","HIST1H2AE","nucleus"
"145","YDR225W","HTA1","ENSG00000184270","HIST2H2AB","nucleus"
"146","YDR225W","HTA1","ENSG00000203812","HIST2H2AA3","nucleus"
"147","YDR225W","HTA1","ENSG00000188486","H2AFX","nucleus"
"148","YDR225W","HTA1","ENSG00000274997","HIST1H2AH","DNA binding"
"149","YDR225W","HTA1","ENSG00000246705","H2AFJ","DNA binding"
"150","YDR225W","HTA1","ENSG00000196866","HIST1H2AD","nucleus"
"151","YDR225W","HTA1","ENSG00000181218","HIST3H2A","DNA binding"
"152","YDR225W","HTA1","ENSG00000275221","HIST1H2AK","nucleus"
"153","YDR225W","HTA1","ENSG00000196787","HIST1H2AG","nucleus"
"154","YDR225W","HTA1","ENSG00000278463","HIST1H2AB","nucleus"
"155","YDR225W","HTA1","ENSG00000272196","HIST2H2AA4","nucleus"
"156","YDR225W","HTA1","ENSG00000282988","RP1-34B20.21","nucleus"
"157","YDR225W","HTA1","ENSG00000276368","HIST1H2AJ","nucleus"
"158","YDR227W","SIR4","",NA,"NA"
"159","YDR238C","SEC26","ENSG00000129083","COPB1","cytoplasm"
"160","YDR240C","SNU56","",NA,"NA"
"161","YDR257C","RKM4","ENSG00000103037","SETD6","cytoplasm"
"162","YDR257C","RKM4","ENSG00000183576","SETD3","transcription, DNA-templated"
"163","YDR312W","SSF2","ENSG00000243207","PPAN-P2RY11",""
"164","YDR312W","SSF2","ENSG00000130810","PPAN","nucleus"
"165","YDR325W","YCG1","ENSG00000109805","NCAPG","cytoplasm"
"166","YDR333C","RQC1","ENSG00000141002","TCF25",""
"167","YDR337W","MRPS28","",NA,"NA"
"168","YDR339C","FCF1","ENSG00000119616","FCF1",""
"169","YDR346C","SVF1","",NA,"NA"
"170","YDR354W","TRP4","",NA,"NA"
"171","YDR356W","SPC110","",NA,"NA"
"172","YDR361C","BCP1","",NA,"NA"
"173","YDR365C","ESF1","ENSG00000089048","ESF1","regulation of transcription, DNA-templated"
"174","YDR381W","YRA1","",NA,"NA"
"175","YDR389W","SAC7","",NA,"NA"
"176","YDR406W","PDR15","",NA,"NA"
"177","YDR412W","RRP17","",NA,"NA"
"178","YDR430C","CYM1","ENSG00000107959","PITRM1","proteolysis"
"179","YDR452W","PPN1","ENSG00000166311","SMPD1","plasma membrane"
"180","YDR452W","PPN1","ENSG00000172594","SMPDL3A","extracellular space"
"181","YDR452W","PPN1","ENSG00000130768","SMPDL3B","metal ion binding"
"182","YDR460W","TFB3","ENSG00000020426","MNAT1","cytoplasm"
"183","YDR464W","SPP41","",NA,"NA"
"184","YDR500C","RPL37B","",NA,"NA"
"185","YDR505C","PSP1","",NA,"NA"
"186","YDR514C","","",NA,"NA"
"187","YEL026W","SNU13","ENSG00000100138","SNU13","nucleus"
"188","YER002W","NOP16","",NA,"NA"
"189","YER007C-A","TMA20","ENSG00000232119","MCTS1","cytoplasm"
"190","YER025W","GCD11","ENSG00000130741","EIF2S3","cytoplasm"
"191","YER025W","GCD11","ENSG00000180574","EIF2S3L","GTP binding"
"192","YER029C","SMB1","ENSG00000125835","SNRPB","cytosol"
"193","YER029C","SMB1","ENSG00000128739","SNRPN","cytoplasm"
"194","YER033C","ZRG8","",NA,"NA"
"195","YER082C","UTP7","ENSG00000227057","WDR46","poly(A) RNA binding"
"196","YER091C","MET6","",NA,"NA"
"197","YER112W","LSM4","ENSG00000130520","LSM4","cytosol"
"198","YER126C","NSA2","ENSG00000164346","NSA2","nucleus"
"199","YER129W","SAK1","ENSG00000110931","CAMKK2","cytoplasm"
"200","YER129W","SAK1","ENSG00000004660","CAMKK1",""
"201","YER129W","SAK1","ENSG00000118046","STK11",""
"202","YER147C","SCC4","",NA,"NA"
"203","YER157W","COG3","ENSG00000136152","COG3","cytoplasm"
"204","YER161C","SPT2","",NA,"NA"
"205","YER164W","CHD1","ENSG00000177200","CHD9","cytoplasm"
"206","YER164W","CHD1","ENSG00000173575","CHD2","nucleus"
"207","YER164W","CHD1","ENSG00000116254","CHD5","nucleus"
"208","YER164W","CHD1","ENSG00000100888","CHD8","nucleus"
"209","YER164W","CHD1","ENSG00000153922","CHD1","cytoplasm"
"210","YER164W","CHD1","ENSG00000111642","CHD4",""
"211","YER164W","CHD1","ENSG00000170004","CHD3","cytoplasm"
"212","YER164W","CHD1","ENSG00000171316","CHD7","regulation of transcription, DNA-templated"
"213","YER164W","CHD1","ENSG00000124177","CHD6","DNA binding"
"214","YER165W","PAB1","ENSG00000153250","RBMS1","nucleus"
"215","YER165W","PAB1","ENSG00000070756","PABPC1",""
"216","YER165W","PAB1","ENSG00000254535","PABPC4L","nucleotide binding"
"217","YER165W","PAB1","ENSG00000162374","ELAVL4","nucleotide binding"
"218","YER165W","PAB1","ENSG00000174740","PABPC5",""
"219","YER165W","PAB1","ENSG00000151846","PABPC3","cytoplasm"
"220","YER165W","PAB1","ENSG00000196361","ELAVL3","nucleotide binding"
"221","YER165W","PAB1","ENSG00000076067","RBMS2","nucleus"
"222","YER165W","PAB1","ENSG00000101104","PABPC1L","nucleotide binding"
"223","YER165W","PAB1","ENSG00000184388","PABPC1L2B","nucleotide binding"
"224","YER165W","PAB1","ENSG00000186288","PABPC1L2A","nucleotide binding"
"225","YER165W","PAB1","ENSG00000107105","ELAVL2",""
"226","YER165W","PAB1","ENSG00000144642","RBMS3",""
"227","YER165W","PAB1","ENSG00000090621","PABPC4",""
"228","YER165W","PAB1","ENSG00000066044","ELAVL1","cytoplasm"
"229","YER166W","DNF1","ENSG00000101974","ATP11C",""
"230","YER166W","DNF1","ENSG00000058063","ATP11B","integral component of membrane"
"231","YER166W","DNF1","ENSG00000068650","ATP11A","integral component of membrane"
"232","YER176W","ECM32","",NA,"NA"
"233","YFL002C","SPB4","ENSG00000111364","DDX55","membrane"
"234","YFL033C","RIM15","ENSG00000120539","MASTL","cytoplasm"
"235","YFL044C","OTU1","ENSG00000180667","YOD1","metal ion binding"
"236","YFR001W","LOC1","",NA,"NA"
"237","YFR009W","GCN20","ENSG00000204574","ABCF1","cytoplasm"
"238","YFR009W","GCN20","ENSG00000161204","ABCF3","membrane"
"239","YFR041C","ERJ5","",NA,"NA"
"240","YFR051C","RET2","ENSG00000095139","ARCN1","cytoplasm"
"241","YGL023C","PIB2","",NA,"NA"
"242","YGL029W","CGR1","",NA,"NA"
"243","YGL038C","OCH1","",NA,"NA"
"244","YGL043W","DST1","ENSG00000176896","TCEANC","nucleus"
"245","YGL043W","DST1","ENSG00000171703","TCEA2","DNA binding"
"246","YGL043W","DST1","ENSG00000187735","TCEA1","nucleus"
"247","YGL043W","DST1","ENSG00000204219","TCEA3","nucleus"
"248","YGL062W","PYC1","ENSG00000173599","PC",""
"249","YGL077C","HNM1","",NA,"NA"
"250","YGL078C","DBP3","ENSG00000107625","DDX50","plasma membrane"
"251","YGL078C","DBP3","ENSG00000165732","DDX21","nucleus"
"252","YGL099W","LSG1","ENSG00000204590","GNL1","GTP binding"
"253","YGL099W","LSG1","ENSG00000041802","LSG1","cytoplasm"
"254","YGL103W","RPL28","ENSG00000166441","RPL27A","cytosol"
"255","YGL105W","ARC1","ENSG00000164022","AIMP1",""
"256","YGL122C","NAB2","",NA,"NA"
"257","YGL137W","SEC27","ENSG00000184432","COPB2",""
"258","YGL148W","ARO2","",NA,"NA"
"259","YGL190C","CDC55","ENSG00000175470","PPP2R2D","cytoplasm"
"260","YGL190C","CDC55","ENSG00000221914","PPP2R2A","cytosol"
"261","YGL190C","CDC55","ENSG00000156475","PPP2R2B","mitochondrion"
"262","YGL190C","CDC55","ENSG00000074211","PPP2R2C","protein binding"
"263","YGL216W","KIP3","ENSG00000226650","KIF4B","cytosol"
"264","YGL216W","KIP3","ENSG00000116852","KIF21B","cytoplasm"
"265","YGL216W","KIP3","ENSG00000196169","KIF19",""
"266","YGL216W","KIP3","ENSG00000170759","KIF5B","cytoplasm"
"267","YGL216W","KIP3","ENSG00000168280","KIF5C","ATP binding"
"268","YGL216W","KIP3","ENSG00000090889","KIF4A","cytoplasm"
"269","YGL216W","KIP3","ENSG00000155980","KIF5A","cytosol"
"270","YGL216W","KIP3","ENSG00000166813","KIF7","ATP binding"
"271","YGL216W","KIP3","ENSG00000186185","KIF18B",""
"272","YGL216W","KIP3","ENSG00000079616","KIF22","cytoplasm"
"273","YGL216W","KIP3","ENSG00000165115","KIF27","cytoplasm"
"274","YGL216W","KIP3","ENSG00000121621","KIF18A","cytoplasm"
"275","YGL216W","KIP3","ENSG00000138778","CENPE","cytoplasm"
"276","YGL216W","KIP3","ENSG00000139116","KIF21A",""
"277","YGL245W","GUS1","",NA,"NA"
"278","YGL252C","RTG2","",NA,"NA"
"279","YGL253W","HXK2","",NA,"NA"
"280","YGR003W","CUL3","",NA,"NA"
"281","YGR024C","THG1","ENSG00000113272","THG1L","GTP binding"
"282","YGR027C","RPS25A","ENSG00000118181","RPS25",""
"283","YGR072W","UPF3","",NA,"NA"
"284","YGR076C","MRPL25","",NA,"NA"
"285","YGR090W","UTP22","ENSG00000165271","NOL6","nucleus"
"286","YGR094W","VAS1","ENSG00000137411","VARS2","mitochondrion"
"287","YGR094W","VAS1","ENSG00000204394","VARS","cytosol"
"288","YGR103W","NOP7","ENSG00000100029","PES1","cytoplasm"
"289","YGR125W","","",NA,"NA"
"290","YGR130C","","",NA,"NA"
"291","YGR159C","NSR1","ENSG00000115053","NCL","nucleus"
"292","YGR202C","PCT1","ENSG00000161217","PCYT1A",""
"293","YGR202C","PCT1","ENSG00000102230","PCYT1B","cytoplasm"
"294","YGR237C","","",NA,"NA"
"295","YGR244C","LSC2","ENSG00000136143","SUCLA2","metal ion binding"
"296","YGR244C","LSC2","ENSG00000172340","SUCLG2","GTP binding"
"297","YGR261C","APL6","ENSG00000132842","AP3B1","membrane"
"298","YGR261C","APL6","ENSG00000103723","AP3B2","transporter activity"
"299","YGR264C","MES1","ENSG00000166986","MARS","cytoplasm"
"300","YGR280C","PXR1","ENSG00000254093","PINX1","cytoplasm"
"301","YGR283C","","ENSG00000198917","C9orf114","methyltransferase activity"
"302","YGR285C","ZUO1","ENSG00000136770","DNAJC1","integral component of membrane"
"303","YGR285C","ZUO1","ENSG00000105821","DNAJC2","cytoplasm"
"304","YHL015W","RPS20","ENSG00000008988","RPS20","cytoplasm"
"305","YHL034C","SBP1","",NA,"NA"
"306","YHR019C","DED81","ENSG00000134440","NARS","cytoplasm"
"307","YHR021C","RPS27B","ENSG00000185088","RPS27L","metal ion binding"
"308","YHR021C","RPS27B","ENSG00000177954","RPS27","nucleus"
"309","YHR038W","RRF1","",NA,"NA"
"310","YHR052W","CIC1","",NA,"NA"
"311","YHR064C","SSZ1","",NA,"NA"
"312","YHR065C","RRP3","ENSG00000213782","DDX47","membrane"
"313","YHR065C","RRP3","ENSG00000182810","DDX28","cytoplasm"
"314","YHR066W","SSF1","",NA,"NA"
"315","YHR072W-A","NOP10","ENSG00000182117","NOP10","nucleus"
"316","YHR088W","RPF1","ENSG00000117133","RPF1",""
"317","YHR089C","GAR1","ENSG00000109534","GAR1","nucleus"
"318","YHR111W","UBA4","ENSG00000081307","UBA5","cytoplasm"
"319","YHR111W","UBA4","ENSG00000124217","MOCS3","metal ion binding"
"320","YHR118C","ORC6","",NA,"NA"
"321","YHR141C","RPL42B","ENSG00000257529","RPL36A-HNRNPH2",""
"322","YHR141C","RPL42B","ENSG00000241343","RPL36A",""
"323","YHR141C","RPL42B","ENSG00000165502","RPL36AL","structural constituent of ribosome"
"324","YHR143W-A","RPC10","",NA,"NA"
"325","YHR146W","CRP1","",NA,"NA"
"326","YHR161C","YAP1801","ENSG00000073921","PICALM","nucleus"
"327","YHR161C","YAP1801","ENSG00000065609","SNAP91",""
"328","YHR165C","PRP8","ENSG00000174231","PRPF8",""
"329","YHR174W","ENO2","ENSG00000188316","ENO4","magnesium ion binding"
"330","YHR207C","SET5","",NA,"NA"
"331","YHR216W","IMD2","ENSG00000178035","IMPDH2",""
"332","YHR216W","IMD2","ENSG00000137198","GMPR","metal ion binding"
"333","YHR216W","IMD2","ENSG00000100938","GMPR2","metal ion binding"
"334","YHR216W","IMD2","ENSG00000106348","IMPDH1",""
"335","YIL019W","FAF1","",NA,"NA"
"336","YIL047C","SYG1","ENSG00000143324","XPR1","G-protein coupled receptor signaling pathway"
"337","YIL048W","NEO1","ENSG00000054793","ATP9A",""
"338","YIL048W","NEO1","ENSG00000166377","ATP9B",""
"339","YIL052C","RPL34B","ENSG00000109475","RPL34","cytoplasm"
"340","YIL076W","SEC28","",NA,"NA"
"341","YIL096C","BMT5","",NA,"NA"
"342","YIL112W","HOS4","ENSG00000160949","TONSL","cytoplasm"
"343","YIL112W","HOS4","ENSG00000183337","BCOR",""
"344","YIL112W","HOS4","ENSG00000133302","SLF1","cytoplasm"
"345","YIL112W","HOS4","ENSG00000085185","BCORL1",""
"346","YIL112W","HOS4","ENSG00000167522","ANKRD11","cytoplasm"
"347","YIL112W","HOS4","ENSG00000145700","ANKRD31",""
"348","YIL112W","HOS4","ENSG00000138376","BARD1","cytoplasm"
"349","YIL112W","HOS4","ENSG00000101745","ANKRD12",""
"350","YIL127C","RRT14","",NA,"NA"
"351","YIL129C","TAO3","ENSG00000073910","FRY","cell cortex"
"352","YIL129C","TAO3","ENSG00000075539","FRYL","regulation of transcription, DNA-templated"
"353","YIL148W","RPL40A","ENSG00000221983","UBA52","plasma membrane"
"354","YIL149C","MLP2","ENSG00000047410","TPR","cytoplasm"
"355","YIR004W","DJP1","",NA,"NA"
"356","YJL005W","CYR1","ENSG00000081913","PHLPP1","metal ion binding"
"357","YJL005W","CYR1","ENSG00000040199","PHLPP2",""
"358","YJL034W","KAR2","ENSG00000044574","HSPA5","nucleus"
"359","YJL034W","KAR2","ENSG00000113013","HSPA9","cytoplasm"
"360","YJL034W","KAR2","ENSG00000173110","HSPA6","cytoplasm"
"361","YJL034W","KAR2","ENSG00000187522","HSPA14","cytosol"
"362","YJL034W","KAR2","ENSG00000126803","HSPA2","nucleus"
"363","YJL034W","KAR2","ENSG00000109971","HSPA8","protein folding"
"364","YJL034W","KAR2","ENSG00000204388","HSPA1B","cytoplasm"
"365","YJL076W","NET1","",NA,"NA"
"366","YJL087C","TRL1","",NA,"NA"
"367","YJL095W","BCK1","ENSG00000169967","MAP3K2","cytoplasm"
"368","YJL095W","BCK1","ENSG00000197442","MAP3K5","cytosol"
"369","YJL095W","BCK1","ENSG00000198909","MAP3K3","cytoplasm"
"370","YJL095W","BCK1","ENSG00000176601","MAP3K19",""
"371","YJL095W","BCK1","ENSG00000180815","MAP3K15",""
"372","YJL095W","BCK1","ENSG00000006062","MAP3K14","cytoplasm"
"373","YJL095W","BCK1","ENSG00000142733","MAP3K6",""
"374","YJL095W","BCK1","ENSG00000107968","MAP3K8","cytoplasm"
"375","YJL095W","BCK1","ENSG00000095015","MAP3K1","cytoplasm"
"376","YJL112W","MDV1","ENSG00000114742","WDR48","nucleus"
"377","YJL136C","RPS21B","",NA,"NA"
"378","YJL148W","RPA34","",NA,"NA"
"379","YJL168C","SET2","ENSG00000109685","WHSC1","cytoplasm"
"380","YJL168C","SET2","ENSG00000181090","EHMT1","methyltransferase activity"
"381","YJL168C","SET2","ENSG00000136169","SETDB2","nucleus"
"382","YJL168C","SET2","ENSG00000152455","SUV39H2",""
"383","YJL168C","SET2","ENSG00000152217","SETBP1","nucleus"
"384","YJL168C","SET2","ENSG00000101945","SUV39H1","nucleus"
"385","YJL168C","SET2","ENSG00000170364","SETMAR","nucleus"
"386","YJL168C","SET2","ENSG00000181555","SETD2",""
"387","YJL168C","SET2","ENSG00000147548","WHSC1L1","regulation of transcription, DNA-templated"
"388","YJL168C","SET2","ENSG00000143379","SETDB1",""
"389","YJL168C","SET2","ENSG00000204371","EHMT2",""
"390","YJL168C","SET2","ENSG00000116539","ASH1L","cytoplasm"
"391","YJL168C","SET2","ENSG00000165671","NSD1",""
"392","YJL186W","MNN5","",NA,"NA"
"393","YJL189W","RPL39","ENSG00000198918","RPL39","cytosol"
"394","YJL189W","RPL39","ENSG00000163923","RPL39L","structural constituent of ribosome"
"395","YJL190C","RPS22A","ENSG00000134419","RPS15A","cytoplasm"
"396","YJL197W","UBP12","ENSG00000154914","USP43","ubiquitin-dependent protein catabolic process"
"397","YJL197W","UBP12","ENSG00000135655","USP15","cytoplasm"
"398","YJL197W","UBP12","ENSG00000156256","USP16","cytoplasm"
"399","YJL197W","UBP12","ENSG00000172046","USP19",""
"400","YJL197W","UBP12","ENSG00000103404","USP31","nucleus"
"401","YJL197W","UBP12","ENSG00000170832","USP32","cytoplasm"
"402","YJL197W","UBP12","ENSG00000102226","USP11",""
"403","YJL197W","UBP12","ENSG00000123552","USP45","cytoplasm"
"404","YJL197W","UBP12","ENSG00000129204","USP6","cytoplasm"
"405","YJL197W","UBP12","ENSG00000114316","USP4","cytoplasm"
"406","YJR014W","TMA22","ENSG00000139726","DENR","molecular_function"
"407","YJR033C","RAV1","ENSG00000172869","DMXL1",""
"408","YJR033C","RAV1","ENSG00000104093","DMXL2","extracellular space"
"409","YJR063W","RPA12","ENSG00000066379","ZNRD1","nucleic acid binding"
"410","YJR123W","RPS5","ENSG00000083845","RPS5","cytosol"
"411","YJR143C","PMT4","",NA,"NA"
"412","YKL021C","MAK11","ENSG00000111845","PAK1IP1","plasma membrane"
"413","YKL023W","","",NA,"NA"
"414","YKL027W","TCD2","",NA,"NA"
"415","YKL028W","TFA1","ENSG00000153767","GTF2E1",""
"416","YKL029C","MAE1","ENSG00000082212","ME2","metal ion binding"
"417","YKL029C","MAE1","ENSG00000151376","ME3","metal ion binding"
"418","YKL029C","MAE1","ENSG00000065833","ME1","carbohydrate metabolic process"
"419","YKL073W","LHS1","",NA,"NA"
"420","YKL082C","RRP14","",NA,"NA"
"421","YKL099C","UTP11","ENSG00000183520","UTP11","cytoplasm"
"422","YKL106W","AAT1","",NA,"NA"
"423","YKL122C","SRP21","",NA,"NA"
"424","YKL138C","MRPL31","",NA,"NA"
