YAL060W 	chrI 	35098	35187	0.829979903
YAL012W 	chrI 	130963	131056	0.700449421
YAL012W 	chrI 	131057	131149	0.773378146
YAL012W 	chrI 	131151	131240	0.792095735
YAL012W 	chrI 	131241	131315	0.825455203
YAL012W 	chrI 	131316	131409	0.515860986
YAL012W 	chrI 	131410	131500	0.668957771
YAL012W 	chrI 	131502	131599	0.70578386
YAL012W 	chrI 	131600	131682	0.633627218
YAL012W 	chrI 	131683	131786	0.654452787
YAL012W 	chrI 	131791	131901	0.60381543
YAL012W 	chrI 	131902	131991	0.395481102
YAL012W 	chrI 	132036	132083	0.757683951
YAL003W 	chrI 	142127	142207	0.944797867
YAL003W 	chrI 	142212	142340	0.943441178
YAL003W 	chrI 	142341	142459	0.684908244
YAL003W 	chrI 	142460	142565	0.57824088
YAL003W 	chrI 	142566	142665	0.915729896
YAL003W 	chrI 	142666	142754	0.617054179
YAL003W 	chrI 	142756	142855	0.768887001
YAL003W 	chrI 	142856	142943	0.627183839
YAL003W 	chrI 	142944	143049	0.788037746
YAL003W 	chrI 	143052	143146	0.796383665
YAL003W 	chrI 	143148	143230	0.635530575
YAL003W 	chrI 	143231	143312	0.684979374
YAL003W 	chrI 	143313	143421	0.920340092
YAR002W 	chrI 	152218	152302	0.832818077
YAR002W 	chrI 	152303	152383	0.676543352
YAR002W 	chrI 	152384	152466	0.634629014
YAR002W 	chrI 	152469	152573	0.514053066
YAR002W 	chrI 	152575	152662	0.612972556
YAR002W 	chrI 	152663	152749	0.521790458
YAR002W 	chrI 	152750	152834	0.606159663
YAR002W 	chrI 	152835	152926	0.690045658
YAR002W 	chrI 	152927	153000	0.57531844
YAR002W 	chrI 	153001	153098	0.682628102
YAR002W 	chrI 	153100	153179	0.361048449
YAR002W 	chrI 	153180	153265	0.385788428
YAR002W 	chrI 	153268	153342	0.53286853
YAR002W 	chrI 	153343	153429	0.637479423
YAR002W 	chrI 	153430	153517	0.476740017
YAR002W 	chrI 	153518	153597	0.534432944
YAR002W 	chrI 	153598	153692	0.546553316
YAR002W 	chrI 	153693	153778	0.588071942
YAR002W 	chrI 	153779	153894	0.518559316
YAR002W 	chrI 	153927	153989	0.849887414
YAR003W 	chrI 	154936	155053	0.297174677
YAR003W 	chrI 	155056	155160	0.270390672
YAR003W 	chrI 	155164	155273	0.535320992
YAR003W 	chrI 	155274	155377	0.360450317
YAR003W 	chrI 	155380	155483	0.547279809
YAR003W 	chrI 	155484	155583	0.598196967
YAR003W 	chrI 	155585	155672	0.422062433
YAR003W 	chrI 	155674	155764	0.486784075
YAR003W 	chrI 	155769	155864	0.336320874
YAR003W 	chrI 	155865	155979	0.651895051
YAR003W 	chrI 	155982	156116	0.554266136
YAR003W 	chrI 	156121	156216	0.497945337
YAR003W 	chrI 	156217	156313	0.428031904
YAR003W 	chrI 	156314	156413	0.55174915
YAR003W 	chrI 	156415	156524	0.323502324
YAR003W 	chrI 	156525	156649	0.440331317
YAR003W 	chrI 	156650	156751	0.539206043
YAR003W 	chrI 	156763	156806	0.278836334
YAR008W 	chrI 	158864	158986	0.703239476
YAR008W 	chrI 	158987	159103	0.603542426
YAR008W 	chrI 	159104	159209	0.78721241
YAR008W 	chrI 	159211	159295	0.467114379
YAR008W 	chrI 	159296	159379	0.672392397
YAR008W 	chrI 	159382	159489	0.641556762
YAR008W 	chrI 	159491	159601	0.672014167
YAR008W 	chrI 	159603	159698	0.182603933
YAR008W 	chrI 	159701	159809	0.459315475
YAR015W 	chrI 	169255	169356	0.883224642
YAR015W 	chrI 	169357	169463	0.697193841
YAR015W 	chrI 	169473	169575	0.618425396
YAR015W 	chrI 	169576	169665	0.828972141
YAR015W 	chrI 	169666	169750	0.784225606
YAR015W 	chrI 	169752	169839	0.790612027
YAR015W 	chrI 	169840	169926	0.504635223
YAR015W 	chrI 	169932	170020	0.552268004
YAR015W 	chrI 	170023	170122	0.350848119
YAR015W 	chrI 	170125	170217	0.72841236
YAR015W 	chrI 	170218	170310	0.741117528
YAR015W 	chrI 	170311	170411	0.80909902
YAR015W 	chrI 	170420	170476	0.576040093
YBL102W 	chrII 	23995	24114	0.501257261
YBL102W 	chrII 	24117	24207	0.62964713
YBL102W 	chrII 	24208	24309	0.48454971
YBL102W 	chrII 	24316	24425	0.238361678
YBL102W 	chrII 	24427	24550	0.795579682
YBL102W 	chrII 	24556	24664	0.560041145
YBL102W 	chrII 	24666	24786	0.585535514
YBL102W 	chrII 	24788	24868	0.570585739
YBL099W 	chrII 	36730	36836	0.600932115
YBL099W 	chrII 	36843	36922	0.595020533
YBL099W 	chrII 	36924	37011	0.637587678
YBL099W 	chrII 	37012	37095	0.735089116
YBL099W 	chrII 	37098	37177	0.553548552
YBL099W 	chrII 	37178	37299	0.37574586
YBL099W 	chrII 	37302	37430	0.540926229
YBL099W 	chrII 	37431	37549	0.491741572
YBL099W 	chrII 	37550	37647	0.512379406
YBL099W 	chrII 	37648	37745	0.502760023
YBL099W 	chrII 	37747	37839	0.65791003
YBL099W 	chrII 	37840	37943	0.366739813
YBL099W 	chrII 	37944	38072	0.543944719
YBL099W 	chrII 	38076	38182	0.49966211
YBL099W 	chrII 	38187	38327	0.565986439
YBL099W 	chrII 	38331	38437	0.627099493
YBL099W 	chrII 	38438	38549	0.680590145
YBL099W 	chrII 	38554	38652	0.842443853
YBL099W 	chrII 	38653	38760	0.764221836
YBL099W 	chrII 	38761	38870	0.751760559
YBL098W 	chrII 	39122	39227	0.545324659
YBL098W 	chrII 	39228	39325	0.426543755
YBL098W 	chrII 	39328	39422	0.561622531
YBL098W 	chrII 	39423	39518	0.805820559
YBL098W 	chrII 	39519	39610	0.516649118
YBL098W 	chrII 	39611	39715	0.355852826
YBL098W 	chrII 	39716	39808	0.613021888
YBL098W 	chrII 	39814	39909	0.534322173
YBL098W 	chrII 	39910	40013	0.760186423
YBL098W 	chrII 	40016	40113	0.673867028
YBL098W 	chrII 	40114	40215	0.688834515
YBL098W 	chrII 	40216	40309	0.439488941
YBL098W 	chrII 	40310	40414	0.506830182
YBL098W 	chrII 	40418	40520	0.376323763
YBL092W 	chrII 	45546	45634	0.784168148
YBL092W 	chrII 	45636	45737	0.425004475
YBL092W 	chrII 	45740	45831	0.526268484
YBL092W 	chrII 	45832	45930	0.192852359
YBL092W 	chrII 	45932	46032	0.930805984
YBL092W 	chrII 	46033	46128	0.770402421
YBL092W 	chrII 	46129	46224	0.763704565
YBL092W 	chrII 	46225	46311	0.786216117
YBL092W 	chrII 	46312	46410	0.817406748
YBL092W 	chrII 	46433	46475	0.700299236
YBL090W 	chrII 	48777	48861	0.828110665
YBL090W 	chrII 	48863	48945	0.547391239
YBL090W 	chrII 	48946	49032	0.133664389
YBL090W 	chrII 	49035	49132	0.597604878
YBL090W 	chrII 	49133	49219	0.193935225
YBL090W 	chrII 	49220	49329	0.601639037
YBL090W 	chrII 	49365	49421	0.467513565
YBL071W-A 	chrII 	89945	90030	0.542698796
YBL071W-A 	chrII 	90031	90149	0.658339184
YBL071W-A 	chrII 	90151	90241	0.687311232
YBL071W-A 	chrII 	90243	90332	0.299395154
YBL071W-A 	chrII 	90335	90447	0.531781656
YBL068W 	chrII 	92346	92429	0.81639284
YBL068W 	chrII 	92431	92524	0.588008526
YBL068W 	chrII 	92525	92621	0.406252522
YBL068W 	chrII 	92626	92735	0.437511329
YBL068W 	chrII 	92736	92825	0.410487459
YBL068W 	chrII 	92826	92943	0.479290056
YBL068W 	chrII 	92953	93059	0.542839258
YBL068W 	chrII 	93060	93194	0.157197316
YBL068W 	chrII 	93195	93301	0.536796068
YBL068W 	chrII 	93302	93394	0.627710229
YBL068W 	chrII 	93397	93494	0.823024623
YBL068W 	chrII 	93528	93573	0.637026663
YBL058W 	chrII 	111407	111499	0.698028191
YBL058W 	chrII 	111500	111591	0.710200737
YBL058W 	chrII 	111592	111671	0.598652711
YBL058W 	chrII 	111672	111763	0.58232948
YBL058W 	chrII 	111764	111868	0.441384538
YBL058W 	chrII 	111869	111969	0.687704234
YBL058W 	chrII 	111970	112079	0.608697965
YBL058W 	chrII 	112080	112152	0.551087803
YBL058W 	chrII 	112159	112273	0.606467433
YBL058W 	chrII 	112274	112372	0.65422444
YBL058W 	chrII 	112374	112460	0.458239812
YBL058W 	chrII 	112461	112538	0.68239537
YBL058W 	chrII 	112539	112632	0.771912954
YBL058W 	chrII 	112633	112721	0.480710158
YBL058W 	chrII 	112722	112804	0.651692843
YBL056W 	chrII 	113641	113747	0.947325059
YBL056W 	chrII 	113748	113847	0.635232026
YBL056W 	chrII 	113848	113971	0.599516681
YBL056W 	chrII 	113973	114081	0.68413284
YBL056W 	chrII 	114089	114181	0.688085773
YBL056W 	chrII 	114186	114299	0.681687371
YBL056W 	chrII 	114303	114404	0.608027238
YBL056W 	chrII 	114405	114539	0.645244902
YBL056W 	chrII 	114540	114652	0.662880617
YBL056W 	chrII 	114653	114749	0.846617861
YBL056W 	chrII 	114750	114838	0.797570535
YBL056W 	chrII 	114839	114967	0.72658935
YBL056W 	chrII 	114968	115070	0.419553399
YBL056W 	chrII 	115071	115158	0.811377832
YBL056W 	chrII 	115159	115272	0.519141959
YBL056W 	chrII 	115274	115369	0.31201394
YBL056W 	chrII 	115371	115484	0.793963342
YBL056W 	chrII 	115506	115557	0.790019924
YBL050W 	chrII 	125055	125144	0.658325495
YBL050W 	chrII 	125271	125388	0.7499138
YBL050W 	chrII 	125390	125482	0.521009062
YBL050W 	chrII 	125483	125593	0.611433858
YBL050W 	chrII 	125595	125701	0.501865613
YBL050W 	chrII 	125705	125805	0.54714069
YBL050W 	chrII 	125807	125910	0.673039313
YBL050W 	chrII 	125911	126017	0.58546908
YBL050W 	chrII 	126018	126107	0.711171589
YBL050W 	chrII 	126142	126190	0.931594829
YBL041W 	chrII 	141142	141231	0.759540705
YBL041W 	chrII 	141233	141313	0.158414648
YBL041W 	chrII 	141314	141416	0.656990485
YBL041W 	chrII 	141418	141524	0.798818005
YBL041W 	chrII 	141525	141604	0.86020035
YBL041W 	chrII 	141605	141715	0.700240204
YBL041W 	chrII 	141717	141813	0.779440348
YBL041W 	chrII 	141814	141915	0.429780795
YBL041W 	chrII 	141916	142007	0.689989419
YBL041W 	chrII 	142028	142101	0.440779231
YBL038W 	chrII 	146122	146219	0.700341229
YBL038W 	chrII 	146221	146309	0.678513738
YBL038W 	chrII 	146311	146406	0.691796724
YBL038W 	chrII 	146407	146501	0.532984814
YBL038W 	chrII 	146502	146619	0.505357771
YBL038W 	chrII 	146620	146716	0.708554809
YBL038W 	chrII 	146719	146818	0.599473403
YBL038W 	chrII 	146861	146902	0.593464424
YBL032W 	chrII 	160103	160183	0.717973687
YBL032W 	chrII 	160185	160269	0.671759415
YBL032W 	chrII 	160270	160356	0.588425871
YBL032W 	chrII 	160358	160450	0.187802915
YBL032W 	chrII 	160451	160554	0.735223231
YBL032W 	chrII 	160558	160642	0.78862399
YBL032W 	chrII 	160643	160739	0.644603986
YBL032W 	chrII 	160740	160833	0.54526541
YBL032W 	chrII 	160837	160932	0.610380764
YBL032W 	chrII 	160935	161026	0.681679676
YBL032W 	chrII 	161027	161114	0.617390578
YBL032W 	chrII 	161116	161203	0.564326789
YBL032W 	chrII 	161205	161303	0.817549754
YBL032W 	chrII 	161304	161387	0.86457041
YBL032W 	chrII 	161392	161442	0.178263006
YBL027W 	chrII 	168375	168480	0.372622349
YBL027W 	chrII 	168481	168579	0.64162033
YBL027W 	chrII 	168581	168678	0.338385483
YBL027W 	chrII 	168681	168782	0.429565414
YBL027W 	chrII 	168783	168888	0.857039874
YBL027W 	chrII 	168889	168967	0.527799789
YBL027W 	chrII 	168970	169060	0.788304779
YBL027W 	chrII 	169062	169162	0.665569754
YBL027W 	chrII 	169168	169326	0.740010232
YBL027W 	chrII 	169328	169419	0.761741883
YBL027W 	chrII 	169465	169509	0.071749498
YBL026W 	chrII 	170551	170621	0.898859416
YBL026W 	chrII 	170622	170738	0.953095527
YBL026W 	chrII 	170741	170837	0.943954777
YBL026W 	chrII 	170838	170920	0.6523433
YBL026W 	chrII 	170921	171019	0.409468158
YBL026W 	chrII 	171066	171132	0.340044482
YBL024W 	chrII 	172503	172592	0.812834793
YBL024W 	chrII 	172595	172680	0.588958766
YBL024W 	chrII 	172682	172774	0.705889073
YBL024W 	chrII 	172777	172874	0.401342687
YBL024W 	chrII 	172876	172980	0.455680082
YBL024W 	chrII 	172981	173073	0.605367137
YBL024W 	chrII 	173074	173174	0.478430088
YBL024W 	chrII 	173175	173262	0.547220302
YBL024W 	chrII 	173263	173369	0.268199045
YBL024W 	chrII 	173370	173477	0.655860677
YBL024W 	chrII 	173479	173589	0.720233081
YBL024W 	chrII 	173590	173681	0.682404511
YBL024W 	chrII 	173682	173774	0.308419842
YBL024W 	chrII 	173776	173854	0.666571084
YBL024W 	chrII 	173855	173943	0.749701501
YBL024W 	chrII 	173944	174051	0.595741596
YBL024W 	chrII 	174053	174167	0.622207305
YBL024W 	chrII 	174168	174259	0.422508581
YBL024W 	chrII 	174260	174363	0.473418043
YBL024W 	chrII 	174364	174473	0.652731148
YBL024W 	chrII 	174476	174547	0.565212812
YBL024W 	chrII 	174548	174643	0.74245807
YBL002W 	chrII 	236190	236295	-0.119005563
YBL002W 	chrII 	236297	236429	0.642223782
YBL002W 	chrII 	236433	236518	0.970253947
YBL002W 	chrII 	236519	236595	0.805014185
YBL002W 	chrII 	236597	236693	0.611814418
YBL002W 	chrII 	236694	236788	0.656035345
YBL002W 	chrII 	236789	236882	0.747726573
YBL002W 	chrII 	236883	237036	0.71722577
YBL002W 	chrII 	237038	237128	0.561645582
YBR010W 	chrII 	256305	256377	0.942594314
YBR010W 	chrII 	256378	256496	0.833799289
YBR010W 	chrII 	256497	256612	0.638319938
YBR010W 	chrII 	256613	256704	0.656610143
YBR010W 	chrII 	256705	256796	0.960421483
YBR010W 	chrII 	256840	256890	0.961592837
YBR031W 	chrII 	300105	300260	0.657440217
YBR031W 	chrII 	300512	300988	0.717983253
YBR031W 	chrII 	300989	301114	0.902160247
YBR031W 	chrII 	301115	301248	0.555830824
YBR031W 	chrII 	301250	301345	0.687917772
YBR039W 	chrII 	315496	315603	0.304459053
YBR039W 	chrII 	315604	315695	0.581895233
YBR039W 	chrII 	315698	315786	0.670877407
YBR039W 	chrII 	315787	315881	0.49383587
YBR039W 	chrII 	315882	315987	0.546030945
YBR039W 	chrII 	315988	316080	0.54201031
YBR039W 	chrII 	316083	316177	0.807033287
YBR039W 	chrII 	316178	316259	0.684518299
YBR039W 	chrII 	316260	316360	0.634909606
YBR039W 	chrII 	316361	316448	0.669705117
YBR039W 	chrII 	316450	316562	0.292056088
YBR039W 	chrII 	316565	316645	0.868788486
YBR048W 	chrII 	332736	332827	0.969661096
YBR048W 	chrII 	332829	332922	0.966647363
YBR048W 	chrII 	332923	333017	0.298559639
YBR048W 	chrII 	333018	333115	0.59380119
YBR048W 	chrII 	333118	333196	0.436249826
YBR048W 	chrII 	333197	333285	0.525937024
YBR048W 	chrII 	333286	333385	0.89732903
YBR048W 	chrII 	333386	333469	0.771733114
YBR048W 	chrII 	333470	333614	0.697948135
YBR048W 	chrII 	333617	333691	0.804519166
YBR048W 	chrII 	333692	333793	0.822101419
YBR048W 	chrII 	333794	333887	0.211612035
YBR048W 	chrII 	333888	334022	0.602087136
YBR078W 	chrII 	392944	393043	0.804721384
YBR078W 	chrII 	393044	393149	0.76636859
YBR078W 	chrII 	393303	393406	0.137790035
YBR078W 	chrII 	393508	393613	0.671452031
YBR078W 	chrII 	393614	393725	0.736726333
YBR078W 	chrII 	393727	393827	0.502532883
YBR078W 	chrII 	393832	393923	0.846835536
YBR078W 	chrII 	393928	394019	0.635447212
YBR078W 	chrII 	394022	394126	0.656964971
YBR078W 	chrII 	394127	394227	0.768865016
YBR078W 	chrII 	394229	394340	0.473742254
YBR078W 	chrII 	394341	394453	0.406773767
YBR078W 	chrII 	394454	394553	0.602737682
YBR078W 	chrII 	394554	394654	0.742455231
YBR078W 	chrII 	394655	394785	0.648258112
YBR078W 	chrII 	394786	394921	0.235270704
YBR078W 	chrII 	394922	395015	0.480856802
YBR078W 	chrII 	395016	395083	0.521449288
YBR078W 	chrII 	395085	395186	0.424404454
YBR078W 	chrII 	395188	395285	0.701793039
YBR084W 	chrII 	410975	411079	0.632521715
YBR084W 	chrII 	411081	411181	0.501064874
YBR084W 	chrII 	411182	411265	0.663989829
YBR084W 	chrII 	411266	411358	0.61396043
YBR084W 	chrII 	411359	411453	0.618137323
YBR084W 	chrII 	411456	411555	0.609126812
YBR084W 	chrII 	411556	411656	0.52851949
YBR084W 	chrII 	411657	411757	0.63471541
YBR084W 	chrII 	411758	411864	0.777155214
YBR084W 	chrII 	411866	411981	0.477688086
YBR084W 	chrII 	411988	412075	0.432654746
YBR084W 	chrII 	412076	412169	0.862095262
YBR084W 	chrII 	412172	412264	0.855089036
YBR084W 	chrII 	412266	412364	0.6516612
YBR084W 	chrII 	412365	412481	0.40653987
YBR084W 	chrII 	412483	412569	0.523465348
YBR084W 	chrII 	412571	412652	0.549378905
YBR084W 	chrII 	412653	412740	0.736173441
YBR084W 	chrII 	412742	412838	0.584006627
YBR084W 	chrII 	412841	412940	0.672346942
YBR084W 	chrII 	412942	413041	0.496267512
YBR084W 	chrII 	413046	413138	0.305265452
YBR084W 	chrII 	413139	413258	0.414129319
YBR084W 	chrII 	413261	413344	0.525143202
YBR084W 	chrII 	413347	413449	0.53395878
YBR084W 	chrII 	413450	413547	0.657732143
YBR084W 	chrII 	413548	413641	0.736664913
YBR084W 	chrII 	413642	413719	0.672335152
YBR084W 	chrII 	413720	413801	0.735851144
YBR084W 	chrII 	413802	413913	0.646398319
YBR084W 	chrII 	413914	414019	0.559946043
YBR084W 	chrII 	414020	414131	0.707735218
YBR087W 	chrII 	423745	423837	0.767439437
YBR087W 	chrII 	423838	423946	0.754942875
YBR087W 	chrII 	423950	424044	0.736169728
YBR087W 	chrII 	424046	424138	0.520503463
YBR087W 	chrII 	424140	424235	0.681052278
YBR087W 	chrII 	424236	424337	0.60675916
YBR087W 	chrII 	424338	424428	0.674556714
YBR087W 	chrII 	424429	424520	0.435809851
YBR087W 	chrII 	424521	424614	0.511306496
YBR087W 	chrII 	424616	424711	0.511796214
YBR087W 	chrII 	424712	424811	0.728671682
YBR087W 	chrII 	424839	424878	0.726185454
YBR096W 	chrII 	435937	436027	0.643412583
YBR096W 	chrII 	436028	436165	0.515724178
YBR096W 	chrII 	436168	436259	0.758619088
YBR096W 	chrII 	436261	436358	0.592453951
YBR096W 	chrII 	436360	436468	0.402079223
YBR096W 	chrII 	436471	436556	0.495116974
YBR096W 	chrII 	436557	436660	0.630434599
YBR096W 	chrII 	436661	436746	0.566806711
YBR104W 	chrII 	449576	449668	0.875212605
YBR104W 	chrII 	449669	449770	0.625203886
YBR104W 	chrII 	449772	449867	0.544699393
YBR104W 	chrII 	449868	449999	0.585802757
YBR104W 	chrII 	450000	450084	0.537865015
YBR104W 	chrII 	450086	450187	0.517377525
YBR104W 	chrII 	450194	450297	0.606353786
YBR104W 	chrII 	450303	450411	0.426823855
YBR104W 	chrII 	450412	450501	0.838559948
YBR104W 	chrII 	450505	450605	0.375688384
YBR104W 	chrII 	450608	450713	0.729860516
YBR106W 	chrII 	452575	452652	0.801017068
YBR106W 	chrII 	452655	452739	0.500081797
YBR106W 	chrII 	452743	452836	0.752303539
YBR106W 	chrII 	452837	452935	0.741465419
YBR106W 	chrII 	452937	453035	0.81305083
YBR106W 	chrII 	453036	453135	0.73056474
YBR106W 	chrII 	453141	453228	0.757822898
YBR106W 	chrII 	453229	453338	0.718704128
YBR106W 	chrII 	453339	453456	0.444071475
YBR118W 	chrII 	477560	478382	0.991768007
YBR118W 	chrII 	478383	479009	0.885629851
YBR118W 	chrII 	479010	479117	0.67560721
YBR135W 	chrII 	504760	504857	0.577445859
YBR135W 	chrII 	504858	504948	0.748388439
YBR135W 	chrII 	504949	505046	0.696081396
YBR135W 	chrII 	505049	505142	0.672389692
YBR135W 	chrII 	505144	505223	0.576623228
YBR135W 	chrII 	505224	505291	0.590769654
YBR135W 	chrII 	505292	505386	0.301108533
YBR135W 	chrII 	505411	505446	0.26606953
YBR137W 	chrII 	512960	513038	0.800962471
YBR137W 	chrII 	513049	513150	0.365862135
YBR137W 	chrII 	513153	513243	0.699661863
YBR137W 	chrII 	513247	513373	0.750263627
YBR137W 	chrII 	513374	513472	0.487477291
YBR137W 	chrII 	513475	513580	0.493688294
YBR137W 	chrII 	513584	513696	0.805580138
YBR137W 	chrII 	513707	513767	0.276403627
YBR142W 	chrII 	528241	528334	0.66929175
YBR142W 	chrII 	528335	528416	0.546474102
YBR142W 	chrII 	528417	528529	0.772248307
YBR142W 	chrII 	528531	528628	0.65833554
YBR142W 	chrII 	528630	528729	0.592204072
YBR142W 	chrII 	528735	528839	0.397932733
YBR142W 	chrII 	528840	528931	0.671185014
YBR142W 	chrII 	528934	529030	0.509044669
YBR142W 	chrII 	529031	529104	0.586724459
YBR142W 	chrII 	529106	529198	0.523408414
YBR142W 	chrII 	529200	529288	0.511732041
YBR142W 	chrII 	529291	529385	0.85524942
YBR142W 	chrII 	529388	529479	0.773782538
YBR142W 	chrII 	529482	529565	0.278436774
YBR142W 	chrII 	529566	529649	0.467678953
YBR142W 	chrII 	529650	529749	0.526816257
YBR142W 	chrII 	529750	529832	0.354447396
YBR142W 	chrII 	529837	529914	0.707335272
YBR142W 	chrII 	529915	530019	0.455107763
YBR142W 	chrII 	530022	530112	0.643539912
YBR142W 	chrII 	530113	530197	0.531431498
YBR142W 	chrII 	530198	530287	0.284799908
YBR142W 	chrII 	530288	530387	0.64092966
YBR142W 	chrII 	530389	530463	0.764733975
YBR142W 	chrII 	530464	530565	0.566499814
YBR142W 	chrII 	530567	530652	0.67754555
YBR142W 	chrII 	530653	530739	0.563067523
YBR142W 	chrII 	530754	530796	0.594410017
YBR146W 	chrII 	535193	535310	0.50359021
YBR146W 	chrII 	535311	535402	0.527728524
