# 120 yeas tRBPs from Parker
Systematic Name	Gene	Previously Known RNA Target	Function	% coverage repplicate 1	% coverage replicate 2	Peptide Count Replicate 1	Peptide Count Replicate 2
YMR080C	UPF1	mRNA	Decay	31.64	37.08	22	28
YGR072W	Upf3	mRNA	Decay	9.75	28.42	2	10
YKL014C	URB1	rRNA	Ribosome Synthesis	3.8	3.85	5	6
YBL004W	Utp20	unknown	Ribosome Synthesis	2.25	5.78	4	11
YDL185W	VMA1	none	Other	7.13	22.22	14	20
YGL173C	Xrn1	mRNA	Decay	46.14	49.48	78	86
YBR238c	YBR238C	none	Unknown	17.86	12.45	7	7
YGR054w	YGR054w	rRNA	Translation	8.06	23.83	3	10
YGR250c	YGR250c	unknown	Unknown	60.69	61.97	42	46
YLL032c	Yll032c	rRNA	Unknown	3.76	10.06	2	6
YLR419w	YLR419w	unknown	Unknown	28.22	37.7	32	48
