negative regulation of cytoplasmic mRNA processing body assembly,,
negative regulation of gene silencing by miRNA,,
negative regulation of mRNA 3'-end processing,,
negative regulation of mRNA splicing, via spliceosome,
negative regulation of mitochondrial RNA catabolic process,,
negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,
negative regulation of nuclear-transcribed mRNA poly(A) tail shortening,,
negative regulation of pre-miRNA processing,,
negative regulation of rRNA processing,,
negative regulation of ribosome biogenesis,,
neuronal ribonucleoprotein granule,,
nuclear RNA export factor complex,,
nuclear RNA-directed RNA polymerase complex,,
nuclear exosome (RNase complex),,
nuclear mRNA surveillance,,
nuclear polyadenylation-dependent mRNA catabolic process,,
nuclear polyadenylation-dependent rRNA catabolic process,,
nuclear retention of unspliced pre-mRNA at the site of transcription,,
nuclear-transcribed mRNA catabolic process,,
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,
nuclear-transcribed mRNA catabolic process, no-go decay,
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,
nuclear-transcribed mRNA poly(A) tail shortening,,
nucleolar ribonuclease P complex,,
oxidative RNA demethylase activity,,
oxidative single-stranded RNA demethylation,,
pancreatic ribonuclease activity,,
phenylalanine-tRNA ligase activity,,
phenylalanyl-tRNA aminoacylation,,
pi-body,,
piP-body,,
piRNA binding,,
piRNA metabolic process,,
poly(A) RNA binding,,
poly(A)+ mRNA export from nucleus,,
poly(A)-specific ribonuclease activity,,
poly(G) RNA binding,,
poly(U) RNA binding,,
poly-pyrimidine tract binding,,
polyribonucleotide nucleotidyltransferase activity,,
polysomal ribosome,,
positive regulation of RNA export from nucleus,,
positive regulation of RNA splicing,,
positive regulation of cytoplasmic mRNA processing body assembly,,
positive regulation of cytoplasmic translation,,
positive regulation of mRNA 3'-end processing,,
positive regulation of mRNA catabolic process,,
positive regulation of mRNA splicing, via spliceosome,
positive regulation of miRNA catabolic process,,
positive regulation of miRNA metabolic process,,
positive regulation of mitochondrial RNA catabolic process,,
positive regulation of mitochondrial translation,,
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,,
positive regulation of translation,,
positive regulation of translational elongation,,
positive regulation of translational initiation,,
positive regulation of translational initiation by iron,,
positive regulation of translational termination,,
pre-mRNA 3'-splice site binding,,
pre-mRNA binding,,
pre-mRNA intronic binding,,
pre-mRNA intronic pyrimidine-rich binding,,
pre-miRNA processing,,
pre-snoRNP complex,,
preribosome,,
preribosome, large subunit precursor,
preribosome, small subunit precursor,
primary miRNA processing,,
production of miRNAs involved in gene silencing by miRNA,,
production of siRNA involved in RNA interference,,
proline-tRNA ligase activity,,
prolyl-tRNA aminoacylation,,
quercetin 2,3-dioxygenase activity,
queuine tRNA-ribosyltransferase activity,,
rRNA (adenine) methyltransferase activity,,
rRNA (adenine-N6,N6-)-dimethyltransferase activity,
rRNA (pseudouridine) methyltransferase activity,,
rRNA (uridine-2'-O-)-methyltransferase activity,,
rRNA 3'-end processing,,
rRNA binding,,
rRNA catabolic process,,
rRNA export from nucleus,,
rRNA import into mitochondrion,,
rRNA metabolic process,,
rRNA methylation,,
rRNA methyltransferase activity,,
rRNA modification,,
rRNA primary transcript binding,,
rRNA processing,,
rRNA pseudouridine synthesis,,
rRNA transcription,,
rRNA transport,,
regulation of RNA biosynthetic process,,
regulation of RNA export from nucleus,,
regulation of RNA metabolic process,,
regulation of RNA splicing,,
regulation of RNA stability,,
regulation of alternative mRNA splicing, via spliceosome,
regulation of cytoplasmic mRNA processing body assembly,,
regulation of cytoplasmic translation,,
regulation of eIF2 alpha phosphorylation by dsRNA,,
regulation of endoribonuclease activity,,
regulation of gene silencing by miRNA,,
regulation of lysosomal lumen pH,,
regulation of mRNA 3'-end processing,,
regulation of mRNA export from nucleus,,
regulation of mRNA processing,,
regulation of mRNA splicing, via spliceosome,
regulation of mRNA stability,,
regulation of mRNA stability involved in response to stress,,
regulation of ribonuclease activity,,
regulation of translation,,
regulation of translation in response to stress,,
regulation of translational fidelity,,
regulation of translational initiation,,
regulation of translational initiation in response to stress,,
regulation of translational termination,,
response to dsRNA,,
response to exogenous dsRNA,,
ribokinase activity,,
ribonuclease E activity,,
ribonuclease H activity,,
ribonuclease H2 complex,,
ribonuclease III activity,,
ribonuclease MRP activity,,
ribonuclease MRP complex,,
ribonuclease P activity,,
ribonuclease P complex,,
ribonuclease T2 activity,,
ribonuclease activity,,
ribonuclease inhibitor activity,,
ribonucleoprotein complex,,
ribonucleoprotein complex assembly,,
ribonucleoprotein complex binding,,
ribonucleoprotein complex biogenesis,,
ribonucleoprotein complex import into nucleus,,
ribonucleoprotein granule,,
ribonucleoside binding,,
ribonucleoside diphosphate catabolic process,,
ribonucleoside monophosphate biosynthetic process,,
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,
ribonucleoside-diphosphate reductase complex,,
ribonucleotide metabolic process,,
ribose phosphate biosynthetic process,,
ribose phosphate diphosphokinase activity,,
ribose phosphate diphosphokinase complex,,
ribose phosphate metabolic process,,
ribosomal S6-glutamic acid ligase activity,,
ribosomal large subunit binding,,
ribosomal large subunit biogenesis,,
ribosomal large subunit export from nucleus,,
ribosomal protein S6 kinase activity,,
ribosomal protein import into nucleus,,
ribosomal small subunit assembly,,
ribosomal small subunit binding,,
ribosomal small subunit biogenesis,,
ribosomal small subunit export from nucleus,,
ribosomal subunit export from nucleus,,
ribosome,,
ribosome assembly,,
ribosome binding,,
ribosome biogenesis,,
ribosome disassembly,,
second spliceosomal transesterification activity,,
serine-tRNA ligase activity,,
seryl-tRNA aminoacylation,,
siRNA binding,,
siRNA loading onto RISC involved in RNA interference,,
single-stranded RNA binding,,
small nuclear ribonucleoprotein complex,,
small nucleolar ribonucleoprotein complex,,
small ribosomal subunit,,
snRNA binding,,
snRNA export from nucleus,,
snRNA import into nucleus,,
snRNA metabolic process,,
snRNA modification,,
snRNA processing,,
snRNA pseudouridine synthesis,,
snRNA-activating protein complex,,
snRNP binding,,
snRNP protein import into nucleus,,
snoRNA binding,,
snoRNA catabolic process,,
snoRNA metabolic process,,
snoRNP binding,,
spliceosomal complex,,
spliceosomal complex assembly,,
spliceosomal snRNP assembly,,
splicing factor protein import into nucleus,,
steroid receptor RNA activator RNA binding,,
structural constituent of ribosome,,
supraspliceosomal complex,,
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity,,
tRNA (adenine-N1-)-methyltransferase activity,,
tRNA (cytosine) methyltransferase activity,,
tRNA (cytosine-5-)-methyltransferase activity,,
tRNA (guanine(37)-N(1))-methyltransferase activity,,
tRNA (guanine-N2-)-methyltransferase activity,,
tRNA (guanine-N7-)-methyltransferase activity,,
tRNA (m1A) methyltransferase complex,,
tRNA (uracil) methyltransferase activity,,
tRNA 2'-phosphotransferase activity,,
tRNA 3'-end processing,,
tRNA 3'-terminal CCA addition,,
tRNA 3'-trailer cleavage,,
tRNA 5'-leader removal,,
tRNA adenylyltransferase activity,,
tRNA aminoacylation,,
tRNA aminoacylation for mitochondrial protein translation,,
tRNA aminoacylation for protein translation,,
tRNA binding,,
tRNA catabolic process,,
tRNA dihydrouridine synthase activity,,
tRNA dimethylallyltransferase activity,,
tRNA export from nucleus,,
tRNA guanylyltransferase activity,,
tRNA metabolic process,,
tRNA methylation,,
tRNA modification,,
tRNA nucleotidyltransferase activity,,
tRNA processing,,
tRNA pseudouridine synthesis,,
tRNA splicing, via endonucleolytic cleavage and ligation,
tRNA thio-modification,,
tRNA wobble uridine modification,,
tRNA-intron endonuclease activity,,
tRNA-intron endonuclease complex,,
tRNA-specific adenosine deaminase activity,,
tRNA-splicing ligase complex,,
tRNA-type intron splice site recognition and cleavage,,
targeting of mRNA for destruction involved in RNA interference,,
telomerase activity,,
telomerase holoenzyme complex,,
telomeric RNA binding,,
telomeric template RNA reverse transcriptase activity,,
threonine-tRNA ligase activity,,
threonyl-tRNA aminoacylation,,
translation,,
translation activator activity,,
translation elongation factor activity,,
translation factor activity, nucleic acid binding,
translation initiation factor activity,,
translation initiation factor binding,,
translation regulator activity,,
translation release factor activity,,
translation release factor activity, codon nonspecific,
translation release factor activity, codon specific,
translation repressor activity,,
translation repressor activity, nucleic acid binding,
translation termination factor activity,,
translational attenuation,,
translational elongation,,
translational frameshifting,,
translational initiation,,
translational termination,,
tryptophan-tRNA ligase activity,,
tryptophanyl-tRNA aminoacylation,,
tyrosine-tRNA ligase activity,,
tyrosyl-RNA phosphodiesterase activity,,
tyrosyl-tRNA aminoacylation,,
valine-tRNA ligase activity,,
valyl-tRNA aminoacylation,,
