Gene Name	ENSEMBL ID	EBI Protein ID
ESF1	YDR365C	Q06344
ESF2	YNR054C	P53743
ETP1	YHL010C	P38748
FAL1	YDR021W	Q12099
FAS1	YKL182W	P07149
FAS2	YPL231W	P19097
FBA1	YKL060C	P14540
FKS1	YLR342W	P38631
FOL2	YGR267C	P51601
FPR1	YNL135C	P20081
FPR3	YML074C	P38911
FRS2	YFL022C	P15625
FUN12	YAL035W	P39730
FUS3	YBL016W	P16892
GAR1	YHR089C	P28007
GBP2	YCL011C	P25555
GCD11	YER025W	P32481
GCD6	YDR211W	P32501
GCN1	YGL195W	P33892
GFA1	YKL104C	P14742
GFD1	YMR255W	Q04839
GFD2	YCL036W	P25370
GGA2	YHR108W	P38817
GIS2	YNL255C	P53849
GLK1	YCL040W	P17709
GLN4	YOR168W	P13188
GLO3	YER122C	P38682
GLR1	YPL091W	P41921
GND1	YHR183W	P38720
GPD2	YOL059W	P41911
GPM1	YKL152C	P00950
GRH1	YDR517W	Q04410
GRX1	YCL035C	P25373
GRX2	YDR513W	P17695
GSP2	YOR185C	P32836
GUA1	YMR217W	P38625
GUK1	YDR454C	P15454
GUS1	YGL245W	P46655
HAA1	YPR008W	Q12753
HAL5	YJL165C	P38970
HAS1	YMR290C	Q03532
HBT1	YDL223C	Q07653
HCA4	YJL033W	P20448
HCR1	YLR192C	Q05775
HEK2	YBL032W	P38199
HHF1	YBR009C	P02309
HOS3	YPL116W	Q02959
HRB1	YNL004W	P38922
HRK1	YOR267C	Q08732
HRP1	YOL123W	Q99383
HRR25	YPL204W	P29295
HSC82	YMR186W	P15108
HSH155	YMR288W	P49955
HSP104	YLL026W	P31539
HSP12	YFL014W	P22943
HSP60	YLR259C	P19882
HTA1	YDR225W	P04911
HTB1	YDR224C	P02293
HTS1	YPR033C	P07263
HTZ1	YOL012C	Q12692
HXK1	YFR053C	P04806
HXK2	YGL253W	P04807
HXT6	YDR343C	P39003
HYP2	YEL034W	P23301
HYR1	YIR037W	P40581
IKI3	YLR384C	Q06706
ILS1	YBL076C	P09436
IMD2	YML113W	P13483
IMD3	YPL119C	P24784
IMD4	YDL031W	Q12389
IMH1	YLR309C	Q06704
IMP4	YNL075W	P53941
INP51	YIL002C	P40559
IRS4	YKR019C	P36115
ISR1	YPR106W	Q06098
JSN1	YJR091C	P47135
KAP104	YBR017C	P38217
KAP123	YER110C	P40069
KEL1	YHR158C	P38853
KIN2	YLR096W	P13186
KIP3	YGL216W	P53086
KRI1	YNL308C	P42846
KRS1	YDR037W	P15180
KSP1	YHR082C	P38691
LAP3	YNL239W	Q01532
LCB5	YLR260W	Q06147
LEU1	YGL009C	P07264
LGE1	YPL055C	Q02796
LHP1	YDL051W	P33399
LSB3	YFR024C-A	P43603
LSG1	YGL099W	P53145
LSM12	YHR121W	P38828
LSM2	YBL026W	P38203
LSM3	YLR438C-A	P57743
LSM4	YER112W	P40070
LSM5	YER146W	P40089
LSM7	YNL147W	P53905
LSM8	YJR022W	P47093
LSP1	YPL004C	Q12230
MAG1	YER142C	P22134
MAG2	YLR427W	Q06436
MAK11	YKL021C	P20484
MAK21	YDR060W	Q12176
MAP2	YBL091C	P38174
MBF1	YOR298C-A	O14467
MCK1	YNL307C	P21965
MCM4	YPR019W	P30665
MDM20	YOL076W	Q12387
MES1	YGR264C	P00958
MET6	YER091C	P05694
MEX67	YPL169C	Q99257
MGM101	YJR144W	P32787
MIP6	YHR015W	P38760
MLP1	YNL112W	P24783
MOT2	YER068W	P34909
MOT3	YMR070W	P54785
MPE1	YKL059C	P35728
MPP10	YJR002W	P47083
MPT5	YGL178W	P39016
MRD1	YPR112C	Q06106
MRN1	YPL184C	Q08925
MRT4	YKL009W	P33201
MSB1	YOR188W	P21339
MSC6	YGL078C	P20447
MSL5	YLR116W	Q12186
MSO1	YNR049C	P53604
MSS116	YDR194C	P15424
MTC1	YJL123C	P47018
MTC4	YBR255W	P38335
MTR2	YKL186C	P34232
MTR4	YJL050W	P47047
MUD2	YKL074C	P36084
NAB2	YGL122C	P32505
NAB3	YPL190C	P38996
NAB6	YML117W	Q03735
NAF1	YNL124W	P53919
NAM7	YMR080C	P30771
NAM8	YHR086W	Q00539
NAN1	YPL126W	Q02931
NAR1	YNL240C	P23503
NAT1	YDL040C	P12945
NCL1	YBL024W	P38205
NEW1	YPL226W	Q08972
NGL2	YMR285C	Q03264
NGR1	YBR212W	P32831
NHP6A	YPR052C	P11632
NHP6B	YBR089C-A	P11633
NIP1	YMR309C	P32497
NIP7	YPL211W	Q08962
NMA1	YLR328W	Q06178
NMD2	YHR077C	P38798
NMD3	YHR170W	P38861
NOB1	YOR056C	Q08444
NOC2	YOR206W	P39744
NOG1	YPL093W	Q02892
NOG2	YNR053C	P53742
NOP1	YDL014W	P15646
NOP12	YOL041C	Q08208
NOP13	YNL175C	P53883
NOP14	YDL148C	Q99207
NOP16	YER002W	P40007
NOP2	YNL061W	P40991
NOP4	YPL043W	P37838
NOP53	YPL146C	Q12080
NOP56	YLR197W	Q12460
NOP58	YOR310C	Q12499
NOP6	YDL213C	Q07623
NOP7	YGR103W	P53261
NOP9	YJL010C	P47077
NOT3	YIL038C	P06102
NPL3	YDR432W	Q01560
NRD1	YNL251C	P53617
NRP1	YDL167C	P32770
NSA2	YER126C	P40078
NSP1	YJL041W	P14907
NSR1	YGR159C	P27476
NUG1	YER006W	P40010
NUP188	YML103C	P52593
OLA1	YBR025C	P38219
OSH3	YHR073W	P38713
OTU2	YHL013C	P38747
OYE2	YHR179W	Q03558
PAB1	YER165W	P04147
PAM1	YDR251W	P37304
PAP1	YKR002W	P29468
PAP2	YOL115W	P53632
PAR32	YDL173W	Q12515
PAT1	YCR077C	P25644
PBI2	YNL015W	P01095
PBP1	YGR178C	P53297
PBP2	YBR233W	P38151
PBP4	YDL053C	Q07362
PDC1	YLR044C	P06169
PDR5	YOR153W	P33302
PET9	YBL030C	P18239
PFK1	YGR240C	P16861
PFK2	YMR205C	P16862
PFS2	YNL317W	P42841
PGI1	YBR196C	P12709
PGK1	YCR012W	P00560
PHO4	YFR034C	P07270
PIL1	YGR086C	P53252
PIN4	YBL051C	P34217
PKH2	YOL100W	Q12236
PMA1	YGL008C	P05030
PNC1	YGL037C	P53184
PNO1	YOR145C	Q99216
POL2	YNL262W	P21951
POL5	YEL055C	P39985
PRE7	YBL041W	P23724
PRP22	YER013W	P24384
PRP24	YMR268C	P49960
PRP42	YDR235W	Q03776
PRP43	YGL120C	P53131
PRP8	YHR165C	P33334
PRP9	YDL030W	P19736
PRS1	YKL181W	P32895
PRT1	YOR361C	P06103
PSA1	YDL055C	P41940
PSD2	YGR170W	P53037
PSP1	YDR505C	P50896
PSP2	YML017W	P50109
PTK2	YJR059W	P47116
PUB1	YNL016W	P32588
PUF2	YPR042C	Q12221
PUF3	YLL013C	Q07807
PUF4	YGL014W	P25339
PUF6	YDR496C	Q04373
PUS1	YPL212C	Q12211
PUS7	YOR243C	Q08647
PWP1	YLR196W	P21304
PWP2	YOR046C	P20449
RAD23	YEL037C	P32628
RAT1	YOR048C	Q02792
RBL2	YOR265W	P48606
RBS1	YDL189W	Q05672
RDL1	YOR285W	Q12305
RET1	YOR207C	P22276
REX2	YLR059C	P54964
RFA1	YAR007C	P22336
RFC1	YOR217W	P38630
RGC1	YPR115W	Q06108
RHR2	YIL053W	P41277
RIM1	YCR028C-A	P32445
RIO1	YOR119C	Q12196
RIO2	YNL207W	P40160
RIX7	YLL034C	Q07844
RLI1	YDR091C	Q03195
RLP7	YNR038W	P53734
RMD9	YKR024C	P36120
RME1	YGR044C	P32338
ROM2	YLR371W	P51862
RPB2	YOR151C	P08518
RPF1	YHR088W	P38805
RPF2	YKR081C	P36160
RPG1	YBR079C	P38249
RPI1	YIL119C	P23250
RPL10	YLR075W	P41805
RPL11A	YPR102C	P0C0W9
RPL12A	YEL054C	"P0CX53;P0CX54"
RPL13B	YMR142C	P40212
RPL15A	YLR029C	P05748
RPL16A	YIL133C	P26784
RPL16B	YNL069C	P26785
RPL17A	YKL180W	P05740
RPL17AA	RPL17AA	P05740
RPL18A	YOL120C	"P0CX49;P0CX50"
RPL18A2	YMR242C	P0CX23
RPL19A	YBR084C-A	"P0CX82;P0CX83"
RPL1A	YPL220W	"P0CX43;P0CX44"
RPL21A	YBR191W	Q02753
RPL22A	YLR061W	P05749
RPL24A	YGL031C	P04449
RPL25	YOL127W	P04456
RPL26B	YGR034W	P53221
RPL27A	YHR010W	P0C2H6
RPL28	YGL103W	P02406
RPL2A	YFR031C-A	"P0CX45;P0CX46"
RPL3	YOR063W	P14126
RPL30	YGL030W	P14120
RPL31A	YDL075W	P0C2H8
RPL32	YBL092W	P38061
RPL33A	YPL143W	P05744
RPL33B	YOR234C	P41056
RPL38	YLR325C	P49167
RPL43A	YPR043W	"P0CX25;P0CX26"
RPL4B	YDR012W	P49626
RPL5	YPL131W	P26321
RPL6A	YML073C	Q02326
RPL6B	YLR448W	P05739
RPL7B	YPL198W	Q12213
RPL8A	YHL033C	P17076
RPL8B	YLL045C	P29453
RPL9A	YGL147C	P05738
RPO21	YDL140C	P04050
RPO41	YFL036W	P13433
RPP0	YLR340W	P05317
RPS0B	YLR048W	P46654
RPS10B	YMR230W	P46784
RPS11A	YDR025W	"P0CX47;P0CX48"
RPS12	YOR369C	P48589
RPS13	YDR064W	P05756
RPS14B	YJL191W	P39516
RPS15	YOL040C	Q01855
RPS16A	YMR143W	"P0CX51;P0CX52"
RPS17A	YML024W	P02407
RPS18A	YDR450W	"P0CX55;P0CX56"
RPS1A	YLR441C	P33442
RPS1B	YML063W	P23248
RPS2	YGL123W	P25443
RPS20	YHL015W	P38701
RPS21B	YJL136C	Q3E754
RPS22A	YJL190C	P0C0W1
RPS23A	YGR118W	"P0CX29;P0CX30"
RPS24EA	YER074W	P0CX31
RPS25B	YLR333C	P0C0T4
RPS26A	YGL189C	P39938
RPS27A	YKL156W	P35997
RPS28B	YLR264W	P0C0X0
RPS29A	YLR388W	P41057
RPS3	YNL178W	P05750
RPS30A	YLR287C-A	"P0CX33;P0CX34"
RPS31	YLR167W	P05759
RPS4A	YJR145C	"P0CX35;P0CX36"
RPS5	YJR123W	P26783
RPS6A	YPL090C	"P0CX37;P0CX38"
RPS7A	YOR096W	P26786
RPS7B	YNL096C	P48164
RPS8A	YBL072C	"P0CX39;P0CX40"
RPS9B	YBR189W	P05755
RRB1	YMR131C	Q04225
RRD1	YIL153W	P40454
RRP12	YPL012W	Q12754
RRP14	YKL082C	P36080
RRP3	YHR065C	P38712
RRP4	YHR069C	P38792
RRP45	YDR280W	Q05636
RRP5	YMR229C	Q05022
RRP6	YOR001W	Q12149
RRP8	YDR083W	P38961
RRP9	YPR137W	Q06506
RRS1	YOR294W	Q08746
RSA3	YLR221C	Q05942
RSP5	YER125W	P39940
RTG2	YGL252C	P32608
RTN1	YDR233C	Q04947
RUD3	YOR216C	Q12234
RVS161	YCR009C	P25343
RVS167	YDR388W	P39743
SAC6	YDR129C	P32599
SAH1	YER043C	P39954
SAP1	YER047C	P39955
SAR1	YPL218W	P20606
SAT4	YCR008W	P25333
SBA1	YKL117W	P28707
SBE2	YDR351W	P42223
SBP1	YHL034C	P10080
SCD6	YPR129W	P45978
SCH9	YHR205W	P11792
SCP160	YJL080C	P06105
SCW4	YLR276C	Q06218
SDA1	YGR245C	P53313
SDO1	YLR022C	Q07953
SEC1	YDR164C	P30619
SEC14	YMR079W	P24280
SEC21	YNL287W	P32074
SEC27	YGL137W	P41811
SEC3	YER008C	P33332
SEC53	YFL045C	P07283
SEN1	YKL149C	P24309
SES1	YDR023W	P07284
SET1	YHR119W	P38827
SET2	YJL168C	P46995
SGN1	YIR001C	P40561
SGT2	YOR007C	Q12118
SGV1	YPR161C	P23293
SHE2	YKL130C	P36068
SHE3	YBR130C	P38272
SIP5	YMR140W	P40210
SKI2	YLR398C	P35207
SKI3	YPR189W	P17883
SLF1	YDR515W	Q12034
SLH1	YGR271W	P53327
SLU7	YDR088C	Q02775
SMB1	YER029C	P40018
SMT3	YDR510W	Q12306
SMY2	YBR172C	P32909
SNF1	YDR477W	P06782
SNF7	YLR025W	P39929
SNU56	YDR240C	Q03782
SNU71	YGR013W	P53207
SNX3	YOR357C	Q08826
SOD1	YJR104C	P00445
SOF1	YLL011W	P33750
SPA2	YLL021W	P23201
SPT5	YML010W	P27692
SPT6	YGR116W	P23615
SQS1	YNL224C	P53866
SRO9	YCL037C	P25567
SRP1	YNL189W	Q02821
SRP54	YPR088C	P20424
SRP68	YPL243W	P38687
SRP72	YPL210C	P38688
SSA1	YAL005C	P10591
SSA2	YLL024C	P10592
SSB1	YDL229W	P11484
SSB2	YNL209W	P40150
SSD1	YDR293C	P24276
SSE1	YPL106C	P32589
SST2	YLR452C	P11972
STE20	YHL007C	Q03497
STM1	YLR150W	P39015
STO1	YMR125W	P34160
STT3	YGL022W	P39007
SUB1	YMR039C	P54000
SUB2	YDL084W	Q07478
SUI1	YNL244C	P32911
SUI2	YJR007W	P20459
SUI3	YPL237W	P09064
SUP35	YDR172W	P05453
SUP45	YBR143C	P12385
SVL3	YPL032C	Q03088
SWI4	YER111C	P25302
SYH1	YPL105C	Q02875
SYP1	YCR030C	P25623
TAE2	YPL009C	Q12532
TCP1	YDR212W	P12612
TDH1	YJL052W	P00360
TDH3	YGR192C	P00359
TEF1	YPR080W	P02994
TEF4	YKL081W	P36008
TEX1	YNL253W	P53851
THO1	YER063W	P40040
THO2	YNL139C	P53552
THP3	YPR045C	Q12049
THR1	YHR025W	P17423
THS1	YIL078W	P04801
TIF11	YMR260C	P38912
TIF2	YJL138C	P10081
TIF3	YPR163C	P34167
TIF34	YMR146C	P40217
TIF35	YDR429C	Q04067
TIF4631	YGR162W	P39935
TIF4632	YGL049C	P39936
TIF5	YPR041W	P38431
TKL1	YPR074C	P23254
TMA19	YKL056C	P35691
TMA46	YOR091W	Q12000
TMA64	YDR117C	Q04600
TMA7	YLR262C-A	Q3E764
TOP2	YNL088W	P06786
TOR2	YKL203C	P32600
TPI1	YDR050C	P00942
TPM1	YNL079C	P17536
TPS2	YDR074W	P31688
TPT1	YOL102C	Q12272
TRF5	YNL299W	P48561
TRL1	YJL087C	P09880
TRM44	YPL030W	Q02648
TRP5	YGL026C	P00931
TRR1	YDR353W	P29509
TRX1	YLR043C	P22217
TRX2	YGR209C	P22803
TSA1	YML028W	P34760
TSL1	YML100W	P38427
TSR1	YDL060W	Q07381
TSR2	YLR435W	Q06672
TSR3	YOR006C	Q12094
TYS1	YNL118C	P53550
TYW1	YPL207W	Q08960
UBA1	YKL210W	P22515
UBC1	YDR177W	P21734
UBP3	YER151C	Q01477
UGP1	YKL035W	P32861
UPF3	YGR072W	P48412
URA2	YJL130C	P07259
URB1	YKL014C	P34241
UTP10	YJL109C	P42945
UTP14	YML093W	Q04500
UTP15	YMR093W	Q04305
UTP20	YBL004W	P35194
UTP23	YOR004W	Q12339
UTP30	YKR060W	P36144
UTP4	YDR324C	Q06679
UTP6	YDR449C	Q02354
UTP7	YER082C	P40055
UTP8	YGR128C	P53276
UTP9	YHR196W	P38882
VAS1	YGR094W	P07806
VBA4	YDR119W	Q04602
VIP1	YLR410W	Q06685
VMA1	YDL185W	P17255
VMA10	YHR039C-A	P48836
VMA13	YPR036W	P41807
VMA5	YKL080W	P31412
VMS1	YDR049W	Q04311
VPS1	YKR001C	P21576
VPS24	YKL041W	P36095
VPS27	YNR006W	P40343
VTS1	YOR359W	Q08831
WHI3	YNL197C	P34761
WHI4	YDL224C	Q07655
WWM1	YFL010C	P43582
XRN1	YGL173C	P22147
YAP1	YML007W	P19880
YBL081W	YBL081W	P38180
YBR238C	YBR238C	P38330
YCF1	YDR135C	P39109
YCK2	YNL154C	P23292
YCR090C	YCR090C	P25654
YDJ1	YNL064C	P25491
YDL085C-A	YDL085C-A	Q3E7B7
YDL124W	YDL124W	Q07551
YDR170W-A	YDR170W-A	Q03964
YDR266C	YDR266C	Q05580
YDR333C	YDR333C	Q05468
YDR341C	YDR341C	Q05506
YDR348C	YDR348C	Q05518
YEF3	YLR249W	P16521
YEL047C	YEL047C	P32614
YER034W	YER034W	P40022
YER079W	YER079W	P40052
YER137C	YER137C	P40083
YFR016C	YFR016C	P43597
YGP1	YNL160W	P38616
YGR054W	YGR054W	P53235
YGR169C-A	YGR169C-A	Q3E772
YGR250C	YGR250C	P53316
YHC1	YLR298C	Q05900
YHR020W	YHR020W	P38708
YHR097C	YHR097C	P38809
YHR127W	YHR127W	P38833
YIL055C	YIL055C	P40523
YIL161W	YIL161W	P40449
YKL023W	YKL023W	P36103
YKR023W	YKR023W	P36119
YKR078W	YKR078W	P36158
YLL032C	YLL032C	Q07834
YLR419W	YLR419W	Q06698
YML082W	YML082W	Q04533
YMR099C	YMR099C	Q03161
YMR147W	YMR147W	P40218
YMR178W	YMR178W	Q03219
YMR265C	YMR265C	Q03508
YNL035C	YNL035C	P53962
YNL134C	YNL134C	P53912
YNL208W	YNL208W	P40159
YNL247W	YNL247W	P53852
YOR283W	YOR283W	Q12040
YPK1	YKL126W	P12688
YPL225W	YPL225W	Q08971
YPL245W	YPL245W	Q12179
YPT31	YER031C	P38555
YRA1	YDR381W	Q12159
YRA2	YKL214C	P36036
YRB1	YDR002W	P41920
YVH1	YIR026C	Q02256
ZDS1	YMR273C	P50111
ZUO1	YGR285C	P32527
