GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES	ratio	ANNOTATED_GENES2
GO:0031399	regulation of protein modification process	2	70	2.86%	219	6439	3.40%	YJL076W, YLR449W	-0.251449141907975	NET1, FPR4
GO:0018193	peptidyl-amino acid modification	2	70	2.86%	251	6439	3.90%	YLR449W, YML074C	-0.448205636257574	FPR4, FPR3
GO:0000910	cytokinesis	1	70	1.43%	108	6439	1.68%	YJL076W	-0.231549584470271	NET1
GO:0006352	DNA-templated transcription, initiation	1	70	1.43%	93	6439	1.44%	YDR174W	-0.0158208934148334	HMO1
GO:0006997	nucleus organization	1	70	1.43%	70	6439	1.09%	YJL076W	0.394054900748231	NET1
GO:0032543	mitochondrial translation	1	70	1.43%	176	6439	2.73%	YDR115W	-0.9360937009441	YDR115W
GO:0006310	DNA recombination	1	70	1.43%	253	6439	3.93%	YPL127C	-1.45965565700111	HHO1
GO:0006260	DNA replication	1	70	1.43%	150	6439	2.33%	YLR002C	-0.705480772802683	NOC3
GO:0007010	cytoskeleton organization	1	70	1.43%	273	6439	4.24%	YJL076W	-1.56941922322665	NET1
GO:0008033	tRNA processing	1	70	1.43%	132	6439	2.05%	YJL087C	-0.521056201665256	TRL1
GO:0006629	lipid metabolic process	1	70	1.43%	343	6439	5.33%	YGR202C	-1.89872684847961	PCT1
GO:0016570	histone modification	1	70	1.43%	144	6439	2.24%	YLR449W	-0.646587083749115	FPR4
GO:0006470	protein dephosphorylation	1	70	1.43%	95	6439	1.48%	YJL076W	-0.0465176906377502	NET1
GO:0006970	response to osmotic stress	1	70	1.43%	80	6439	1.24%	YNL091W	0.201409822805836	NST1
GO:0051052	regulation of DNA metabolic process	1	70	1.43%	97	6439	1.51%	YPL127C	-0.0765749244939302	HHO1
GO:0006468	protein phosphorylation	1	70	1.43%	247	6439	3.84%	YOR119C	-1.42502931389148	RIO1
GO:0008213	protein alkylation	1	70	1.43%	58	6439	0.90%	YLR449W	0.665356922565626	FPR4
GO:0006401	RNA catabolic process	1	70	1.43%	161	6439	2.50%	YNR024W	-0.807578960421419	MPP6
GO:0015931	nucleobase-containing compound transport	1	70	1.43%	177	6439	2.75%	YFR001W	-0.9442676323898	LOC1
GO:0006520	cellular amino acid metabolic process	1	70	1.43%	222	6439	3.45%	YKL106W	-1.27107794865691	AAT1
