GOID	GO term	Frequency	Genome Frequency	Gene(s)
6354	" DNA-templated transcription, elongation"	"1 out of 136 genes, 0.7%"	"96 of 6341 genes, 1.5%"	SPT5
51049	 regulation of transport	"1 out of 136 genes, 0.7%"	"84 of 6341 genes, 1.3%"	AKR1
51604	 protein maturation	"1 out of 136 genes, 0.7%"	"49 of 6341 genes, 0.8%"	MAP2
6766	 vitamin metabolic process	"1 out of 136 genes, 0.7%"	"43 of 6341 genes, 0.7%"	PHO3
9408	 response to heat	"1 out of 136 genes, 0.7%"	"71 of 6341 genes, 1.1%"	HSC82
7031	 peroxisome organization	"1 out of 136 genes, 0.7%"	"73 of 6341 genes, 1.2%"	ANT1
6865	 amino acid transport	"1 out of 136 genes, 0.7%"	"33 of 6341 genes, 0.5%"	TAT1
61025	 membrane fusion	"1 out of 136 genes, 0.7%"	"75 of 6341 genes, 1.2%"	SFT1
8643	 carbohydrate transport	"0 out of 136 genes, 0%"	"33 of 6341 genes, 0.5%"	none
6470	 protein dephosphorylation	"0 out of 136 genes, 0%"	"48 of 6341 genes, 0.8%"	none
6468	 protein phosphorylation	"0 out of 136 genes, 0%"	"199 of 6341 genes, 3.1%"	none
16197	 endosomal transport	"0 out of 136 genes, 0%"	"102 of 6341 genes, 1.6%"	none
902	 cell morphogenesis	"0 out of 136 genes, 0%"	"29 of 6341 genes, 0.5%"	none
10324	 membrane invagination	"0 out of 136 genes, 0%"	"0 of 6341 genes, 0%"	none
6383	 transcription from RNA polymerase III promoter	"0 out of 136 genes, 0%"	"41 of 6341 genes, 0.6%"	none
6310	 DNA recombination	"0 out of 136 genes, 0%"	"175 of 6341 genes, 2.8%"	none
6260	 DNA replication	"0 out of 136 genes, 0%"	"139 of 6341 genes, 2.2%"	none
1403	 invasive growth in response to glucose limitation	"0 out of 136 genes, 0%"	"59 of 6341 genes, 0.9%"	none
32196	 transposition	"0 out of 136 genes, 0%"	"110 of 6341 genes, 1.7%"	none
6353	" DNA-templated transcription, termination"	"0 out of 136 genes, 0%"	"43 of 6341 genes, 0.7%"	none
other	other	"7 out of 136 genes, 5.1%"		"TRP4,CLG1,PCL5,ILV3,TRP3,ILV2,FIT2"
