Ensembl Gene ID	Ensembl Transcript ID	GO Term Name	GO Term Accession	GO Term Definition	GOSlim GOA Description
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	"transferase activity, transferring glycosyl groups"
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	protein glycosylation
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	transferase activity
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	membrane
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	cellular_component
YAL023C	YAL023C	protein O-linked glycosylation	GO:0006493	"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan. [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"	molecular_function
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	"translation factor activity, RNA binding"
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	translational initiation
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	RNA binding
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	cellular_component
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	ion binding
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	mitochondrion
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	biological_process
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	molecular_function
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	regulation of translation
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	ribosome
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	hydrolase activity
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	cytoplasm
YAL035W	YAL035W	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration. [GOC:giardia, ISBN:0198506732]"	GTPase activity
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	"translation factor activity, RNA binding"
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	translational initiation
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	RNA binding
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	cellular_component
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	ion binding
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	mitochondrion
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	biological_process
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	molecular_function
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	regulation of translation
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	ribosome
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	hydrolase activity
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	cytoplasm
YAL035W	YAL035W	cytosolic small ribosomal subunit	GO:0022627	The small subunit of a ribosome located in the cytosol. [GOC:mtg_sensu]	GTPase activity
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	"translation factor activity, RNA binding"
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	translational initiation
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	RNA binding
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	cellular_component
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	ion binding
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	mitochondrion
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	biological_process
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	molecular_function
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	regulation of translation
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	ribosome
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	hydrolase activity
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	cytoplasm
YAL035W	YAL035W	GTPase activity	GO:0003924	Catalysis of the reaction: GTP + H2O = GDP + phosphate. [ISBN:0198547684]	GTPase activity
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	"translation factor activity, RNA binding"
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	translational initiation
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	RNA binding
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	cellular_component
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	ion binding
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	mitochondrion
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	biological_process
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	molecular_function
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	regulation of translation
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	ribosome
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	hydrolase activity
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	cytoplasm
YAL035W	YAL035W	ribosome binding	GO:0043022	Interacting selectively and non-covalently with any part of a ribosome. [GOC:go_curators]	GTPase activity
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	"translation factor activity, RNA binding"
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	translational initiation
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	RNA binding
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	cellular_component
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	ion binding
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	mitochondrion
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	biological_process
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	molecular_function
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	regulation of translation
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	ribosome
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	hydrolase activity
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	cytoplasm
YAL035W	YAL035W	translation	GO:0006412	"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome. [GOC:go_curators]"	GTPase activity
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	"translation factor activity, RNA binding"
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	translational initiation
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	RNA binding
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	cellular_component
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	ion binding
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	mitochondrion
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	biological_process
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	molecular_function
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	regulation of translation
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	ribosome
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	hydrolase activity
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	cytoplasm
YAL035W	YAL035W	GTP binding	GO:0005525	"Interacting selectively and non-covalently with GTP, guanosine triphosphate. [GOC:ai]"	GTPase activity
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	"translation factor activity, RNA binding"
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	translational initiation
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	RNA binding
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	cellular_component
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	ion binding
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	mitochondrion
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	biological_process
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	molecular_function
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	regulation of translation
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	ribosome
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	hydrolase activity
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	cytoplasm
YAL035W	YAL035W	nucleotide binding	GO:0000166	"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"	GTPase activity
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	"translation factor activity, RNA binding"
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	translational initiation
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	RNA binding
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	cellular_component
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	ion binding
YAL035W	YAL035W	translational initiation	GO:0006413	"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA, and an initiation complex that contains the first aminoacyl-tRNA. [ISBN:019879276X]"	mitochondrion
